#BGC Name	Clan Number	Family Number
BGC0000014	3733	25
BGC0001091	3733	2108
BGC0001091.1	3733	2108
BGC0001922	3733	3664
BGC0001922.1	3733	3664
BGC0001962	3733	3733
BGC0001962.1	3733	3733
BGC0002453	3733	4248
BGC0000020	3967	36
BGC0001511	3967	36
BGC0000184	3967	352
BGC0000184.1	3967	352
BGC0000257	3967	492
BGC0000236	3967	3059
BGC0000236.1	3967	3059
BGC0001596	3967	3059
BGC0001596.1	3967	3059
BGC0001384	3967	3967
BGC0001384.1	3967	3967
BGC0001769	3967	3967
BGC0001769.1	3967	3967
BGC0002140	3967	3967
BGC0002361	3967	3967
BGC0002520	3967	4308
BGC0000026	3127	48
BGC0000998	3127	1926
BGC0001631	3127	3127
BGC0000345	3127	3500
BGC0001829	3127	3500
BGC0000033	4383	62
BGC0000994	4383	1918
BGC0001300	4383	2492
BGC0001300.1	4383	2492
BGC0001646	4383	3157
BGC0001646.1	4383	3157
BGC0001946.1	4383	3157
BGC0001030	4383	4383
BGC0002598	4383	4383
BGC0002605	4383	4383
BGC0002606	4383	4383
BGC0002607	4383	4383
BGC0002715	4383	4484
BGC0000034	3136	64
BGC0001076	3136	2081
BGC0001076.1	3136	2081
BGC0001635	3136	3136
BGC0001635.1	3136	3136
BGC0002712	3136	4482
BGC0000036	1842	68
BGC0000346	1842	665
BGC0000955	1842	1842
BGC0001415	1842	1842
BGC0001093	1842	2112
BGC0001093.1	1842	2112
BGC0000995	1842	2117
BGC0000995.1	1842	2117
BGC0001096.1	1842	2117
BGC0001233	1842	2374
BGC0001233.1	1842	2374
BGC0001237	1842	2381
BGC0000064	122	122
BGC0001268	122	122
BGC0000173	122	330
BGC0000173.1	122	330
BGC0000963	122	1858
BGC0002350	122	1858
BGC0001711	122	3276
BGC0001819	122	3481
BGC0001819.1	122	3481
BGC0002090	122	3922
BGC0002539	122	4326
BGC0000065	1880	124
BGC0000974	1880	1880
BGC0000239	1880	3300
BGC0000239.1	1880	3300
BGC0000267	1880	3300
BGC0000267.1	1880	3300
BGC0000270	1880	3300
BGC0000270.1	1880	3300
BGC0000276.1	1880	3300
BGC0001308.1	1880	3300
BGC0001438	1880	3300
BGC0001438.1	1880	3300
BGC0001723	1880	3300
BGC0001723.1	1880	3300
BGC0002000	1880	3300
BGC0002000.1	1880	3300
BGC0002369	1880	3300
BGC0002383	1880	3300
BGC0002504	1880	3300
BGC0002672	1880	3300
BGC0000067	128	128
BGC0001055	128	2039
BGC0001741	128	3334
BGC0002677	128	4449
BGC0000066	4246	140
BGC0000074	4246	140
BGC0000259	4246	496
BGC0002675	4246	496
BGC0000282	4246	541
BGC0000282.1	4246	541
BGC0000289	4246	555
BGC0000289.1	4246	555
BGC0001740	4246	3332
BGC0001740.1	4246	3332
BGC0002451	4246	4246
BGC0002624	4246	4401
BGC0000075	3842	142
BGC0001062	3842	2053
BGC0001062.1	3842	2053
BGC0001461	3842	2800
BGC0001461.1	3842	2800
BGC0001462	3842	2800
BGC0001462.1	3842	2800
BGC0002021	3842	3842
BGC0002021.1	3842	3842
BGC0002131	3842	3959
BGC0000083	2013	158
BGC0000083.1	2013	158
BGC0000176	2013	336
BGC0000176.1	2013	336
BGC0001042	2013	2013
BGC0001108	2013	2139
BGC0001108.1	2013	2139
BGC0001109	2013	2139
BGC0001109.1	2013	2139
BGC0001358	2013	2597
BGC0001503	2013	2877
BGC0000090	1997	171
BGC0001034	1997	1997
BGC0001056	1997	2041
BGC0001327	1997	2540
BGC0001328	1997	2540
BGC0001332	1997	2550
BGC0001454.1	1997	2784
BGC0001836	1997	3511
