#BGC Name	Family Number
BGC0000001	0
BGC0000001.1	0
BGC0000002	2
BGC0000002.1	2
BGC0000003	4
BGC0000003.1	4
BGC0000004	16
BGC0000004.1	16
BGC0000006	16
BGC0000006.1	16
BGC0000007	16
BGC0000007.1	16
BGC0000008	16
BGC0000008.1	16
BGC0000009	16
BGC0000009.1	16
BGC0000011	19
BGC0000011.1	19
BGC0000012	21
BGC0000012.1	21
BGC0000013	24
BGC0000013.1	24
BGC0000017	30
BGC0000017.1	30
BGC0000020.1	37
BGC0001511.1	37
BGC0000021	38
BGC0000022	40
BGC0000022.1	40
BGC0000023	42
BGC0000023.1	42
BGC0000024	44
BGC0000024.1	44
BGC0000026	48
BGC0000026.1	48
BGC0000027	50
BGC0000027.1	50
BGC0000031	59
BGC0000031.1	59
BGC0001533	59
BGC0001533.1	59
BGC0000032	60
BGC0000032.1	60
BGC0000033	62
BGC0000033.1	62
BGC0000037	70
BGC0000037.1	70
BGC0000038	72
BGC0000038.1	72
BGC0000040	76
BGC0000040.1	76
BGC0000041	78
BGC0000041.1	78
BGC0000042	80
BGC0000042.1	80
BGC0000043	82
BGC0000043.1	82
BGC0000044	84
BGC0000044.1	84
BGC0000045	86
BGC0000045.1	86
BGC0000046	88
BGC0000046.1	88
BGC0000035	91
BGC0000035.1	91
BGC0000047	91
BGC0000047.1	91
BGC0001396	91
BGC0001396.1	91
BGC0000048	92
BGC0000048.1	92
BGC0000050	96
BGC0000050.1	96
BGC0000054	104
BGC0000054.1	104
BGC0000055	105
BGC0000055.1	105
BGC0000056	107
BGC0000056.1	107
BGC0000057	109
BGC0000057.1	109
BGC0000058	112
BGC0000058.1	112
BGC0000060	115
BGC0000060.1	115
BGC0000062	121
BGC0000062.1	121
BGC0000063	121
BGC0000063.1	121
BGC0002502	121
BGC0000068	130
BGC0000068.1	130
BGC0000069	132
BGC0000069.1	132
BGC0000070	134
BGC0000070.1	134
BGC0000072	136
BGC0000072.1	136
BGC0000073	138
BGC0000073.1	138
BGC0000076	147
BGC0000076.1	147
BGC0000077	147
BGC0000077.1	147
BGC0000078	148
BGC0000078.1	148
BGC0000079	150
BGC0000079.1	150
BGC0000080	152
BGC0000080.1	152
BGC0000081	154
BGC0000081.1	154
BGC0000082	156
BGC0000082.1	156
BGC0000085	162
BGC0000085.1	162
BGC0000086	167
BGC0000086.1	167
BGC0000087	167
BGC0000087.1	167
BGC0000088	168
BGC0000089.1	168
BGC0000092	176
BGC0000092.1	176
BGC0000093	177
BGC0000093.1	177
BGC0000094	179
BGC0000094.1	179
BGC0000096	182
BGC0000096.1	182
BGC0000039	187
BGC0000039.1	187
BGC0000098	187
BGC0000098.1	187
BGC0000099	188
BGC0000099.1	188
BGC0000084	191
BGC0000084.1	191
BGC0000100	191
BGC0000100.1	191
BGC0001670	191
BGC0001670.1	191
BGC0000102	193
BGC0000102.1	193
BGC0000103	195
BGC0000103.1	195
BGC0000104	197
BGC0000104.1	197
BGC0000105	200
BGC0000105.1	200
BGC0000109	208
BGC0000109.1	208
BGC0000110	209
BGC0000110.1	209
BGC0000111	211
BGC0000111.1	211
BGC0000112	213
BGC0000112.1	213
BGC0000113	215
BGC0000113.1	215
BGC0001931	215
BGC0001931.1	215
BGC0002033	215
BGC0002033.1	215
BGC0000015.1	220
BGC0000115	220
BGC0000115.1	220
BGC0001709	220
BGC0001709.1	220
BGC0000116	222
BGC0000116.1	222
BGC0000117	224
BGC0000117.1	224
BGC0000118	228
BGC0000118.1	228
BGC0000119	228
BGC0000119.1	228
BGC0000120	229
BGC0000120.1	229
BGC0000121	232
BGC0000121.1	232
BGC0000124	237
BGC0000124.1	237
BGC0000126	241
BGC0000126.1	241
BGC0000127	243
BGC0000127.1	243
BGC0000128	245
BGC0000128.1	245
BGC0000129	248
BGC0000129.1	248
BGC0000130	254
BGC0000130.1	254
BGC0000132	254
BGC0000132.1	254
BGC0000133	256
BGC0000133.1	256
BGC0000135	259
BGC0000135.1	259
BGC0000140	267
BGC0000140.1	267
BGC0000141	269
BGC0000141.1	269
BGC0000142	272
BGC0000142.1	272
BGC0000143	273
BGC0000143.1	273
BGC0000144	275
BGC0000144.1	275
BGC0000146	279
BGC0000146.1	279
BGC0002515	279
BGC0000147	281
BGC0000147.1	281
BGC0000148	283
BGC0000148.1	283
BGC0000149	285
BGC0000149.1	285
BGC0000151	289
BGC0000151.1	289
BGC0000152	291
BGC0000152.1	291
BGC0000153	293
BGC0000153.1	293
BGC0000154	296
BGC0000154.1	296
BGC0000156	298
BGC0000156.1	298
BGC0000157	303
BGC0000157.1	303
BGC0000158	303
BGC0000158.1	303
