BGC	Accession ID	Description	Product Prediction	BiG-SCAPE class	Organism	Taxonomy
BGC0000002	BGC0000002	Kutzneria albida DSM 43870, complete genome	oligosaccharide.T1PKS	Others	Kutzneria albida DSM 43870	Bacteria,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Kutzneria
BGC0000002.1	BGC0000002.1	Aculeximycin biosynthetic gene cluster	oligosaccharide.t1pks	Others	Kutzneria albida DSM 43870	Bacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Pseudonocardineae,Pseudonocardiaceae,Kutzneria
BGC0000005.1	BGC0000005.1	Aflatoxin biosynthetic gene cluster	other	Others	Aspergillus parasiticus	Eukaryota,Fungi,Dikarya,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Aspergillaceae,Aspergillus
BGC0000010	BGC0000010	Aspergillus flavus isolate AF36 aflatoxin biosynthesis gene cluster, complete sequence		Others	Aspergillus flavus	Eukaryota,Fungi,Dikarya,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus subgen. Circumdati
BGC0000010.1	BGC0000010.1	Aflatoxin biosynthetic gene cluster	other	Others	Aspergillus flavus	Eukaryota,Fungi,Dikarya,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Aspergillaceae,Aspergillus
BGC0000016	BGC0000016	Streptomyces nodosus amphotericin biosynthetic gene cluster, partial sequence		Others	Streptomyces nodosus	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0000016.1	BGC0000016.1	Amphotericin biosynthetic gene cluster	other	Others	Streptomyces nodosus	Bacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Streptomycineae,Streptomycetaceae,Streptomyces
BGC0000019	BGC0000019	Streptomyces eurythermus angolamycin biosynthesis gene cluster, complete sequence		Others	Streptomyces eurythermus	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0000019.1	BGC0000019.1	Angolamycin biosynthetic gene cluster	other	Others	Streptomyces eurythermus	Bacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Streptomycineae,Streptomycetaceae,Streptomyces
BGC0000025	BGC0000025	Streptomyces avermitilis avermectin biosynthetic gene cluster (orf1, aveBI, aveBII, aveBIII, aveBIV, aveBV, aveBVI, aveBVII, aveBVIII), complete cds		Others	Streptomyces avermitilis	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0000025.1	BGC0000025.1	Avermectin biosynthetic gene cluster	other	Others	Streptomyces avermitilis	Bacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Streptomycineae,Streptomycetaceae,Streptomyces
BGC0000026	BGC0000026	Streptomyces viridochromogenes Tue57 Avilamycin A biosynthetic gene cluster, complete sequence	PKS-like.oligosaccharide.T1PKS	Others	Streptomyces viridochromogenes Tue57	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
