PF19546	211,75,59
PF00583	134,87,186
PF09719	116,193,93
PF02687	53,53,179
PF00005	104,148,219
PF02518	145,182,60
PF00486	83,172,198
PF00072	224,109,96
PF04055	158,71,222
PF01228	67,79,213
PF02901	227,200,101
PF00027	82,201,126
PF13545	107,160,220
PF01434	79,179,209
PF17862	186,214,103
PF00004	216,69,143
PF06480	209,143,95
PF00149	144,224,73
PF10021	182,78,197
PF09414	213,203,63
PF02645	153,57,221
PF08876	202,91,178
PF06541	90,214,201
PF01783	161,58,186
PF02620	116,49,186
PF01479	228,57,214
PF00849	94,76,227
PF08402	72,228,100
PF00528	85,202,53
PF13416	221,95,67
PF00766	71,100,207
PF01012	91,168,193
PF00441	73,199,157
PF02770	151,182,68
PF02771	205,95,188
PF00725	73,160,223
PF02737	67,82,180
PF08239	96,228,215
PF02368	77,67,200
PF17866	89,180,134
PF00919	197,81,149
PF03547	217,56,66
PF00378	64,184,195
PF01943	226,93,207
PF14667	216,194,94
PF00542	78,101,183
PF16320	215,109,92
PF00466	102,49,189
PF07314	188,87,110
PF13722	53,162,196
PF02554	103,209,205
PF03808	180,109,79
PF02223	80,202,209
PF01965	104,66,187
PF01812	180,59,200
PF02618	74,141,228
PF00501	93,192,215
PF00550	206,72,135
PF08220	89,186,202
PF12958	192,77,137
PF12681	192,160,60
PF03389	86,134,189
PF01807	178,91,221
PF05272	182,226,106
PF09035	180,96,62
PF02920	76,70,179
PF00589	174,69,200
PF01451	174,64,228
PF12833	188,65,95
PF02311	181,50,158
PF01144	170,204,66
PF01039	118,88,187
PF01869	78,204,88
PF06050	224,56,63
PF00364	228,119,81
PF04277	196,83,112
PF03977	208,158,62
PF04960	148,196,75
PF01566	171,220,64
PF09339	210,128,84
PF01614	68,105,200
PF00491	65,195,173
PF14344	176,75,186
PF01987	133,88,228
PF03466	184,85,221
PF00126	196,58,143
PF02417	98,222,157
PF01979	54,198,117
PF05013	162,92,208
PF17391	225,90,202
PF01175	183,84,172
PF17392	96,217,97
PF02283	212,94,66
PF03781	122,220,109
PF17286	96,217,217
PF06325	180,173,67
PF05402	226,76,177
PF13471	53,53,210
PF13537	196,55,122
PF00733	100,187,213
PF01502	202,101,57
PF04715	54,208,144
PF00425	85,193,189
PF01022	195,87,200
PF02580	100,215,63
PF02384	81,163,186
PF02800	184,81,61
PF00044	187,143,81
PF20258	136,94,197
PF20259	194,90,206
PF03054	81,189,130
PF00266	61,103,204
PF01554	131,91,213
PF11842	189,175,62
PF08497	212,94,130
PF06723	83,192,69
PF00903	189,180,83
PF02628	108,66,198
PF02899	122,183,89
PF01364	205,102,76
PF00717	224,62,204
PF01344	162,191,81
PF02540	84,181,99
PF00795	171,183,67
PF00216	173,189,87
PF07494	131,190,74
PF07282	88,164,195
PF01385	85,191,94
PF12323	228,85,168
PF00239	87,180,99
PF00376	76,150,181
PF02578	138,62,186
PF05958	102,196,216
PF01938	52,54,205
PF00817	200,145,77
PF11799	183,107,62
PF01384	55,188,189
PF00920	202,92,173
PF06961	65,207,130
PF00436	62,165,194
PF02508	205,113,69
PF04205	190,90,173
PF03116	138,62,211
PF13237	214,185,66
PF10531	96,161,201
PF01512	60,178,91
PF13375	148,92,193
PF08282	185,99,47
PF16658	217,59,133
PF03144	185,154,79
PF00009	115,206,57
PF09334	157,51,184
PF19303	89,216,66
PF01588	177,73,202
PF00872	179,45,71
PF12697	70,167,206
PF12674	65,95,206
PF01381	69,227,101
PF14437	227,149,109
PF14681	188,102,227
PF13399	193,85,88
PF05872	228,142,87
PF20171	215,184,83
PF10128	102,213,68
PF01850	90,96,188
PF09957	215,200,87
PF13280	212,202,90
PF13625	147,66,193
PF00112	204,202,55
PF05721	213,69,174
PF07812	224,92,127
PF02624	171,50,200
PF02441	92,195,127
PF01636	211,139,69
PF17914	63,197,80
PF13177	217,81,121
PF12169	195,171,85
PF02844	219,67,180
PF01071	213,148,79
PF02843	214,224,96
PF20254	108,207,55
PF01259	99,228,58
PF00196	196,145,89
PF07730	64,210,209
PF01061	183,53,82
PF11774	52,192,210
PF02700	61,52,181
PF13507	99,202,87
PF18072	206,86,206
PF00586	194,207,62
PF02769	225,100,173
PF11716	50,168,185
PF17844	202,140,52
PF03724	172,223,90
PF01032	183,49,51
PF01497	185,55,88
PF06276	210,104,157
PF04183	206,101,213
PF07690	190,89,185
PF13434	212,154,69
PF13523	185,79,58
PF00282	70,132,203
PF00202	67,182,49
PF00291	194,107,229
PF02423	209,55,91
PF03328	147,179,49
PF02784	51,195,144
PF02195	198,62,200
PF02347	228,105,192
PF19462	48,148,189
PF02517	178,201,72
PF02567	212,94,65
PF03551	187,111,79
PF07228	82,82,202
PF00496	178,215,62
PF19300	102,211,152
PF12911	205,198,94
PF08352	69,215,176
PF04226	61,137,182
PF00188	67,184,151
PF13458	187,86,74
PF02653	82,66,197
PF12399	173,216,83
PF13377	206,55,221
PF00356	180,67,132
PF00557	146,210,86
PF14833	130,215,97
PF03446	70,110,202
PF13193	221,76,160
PF00668	70,161,206
PF18563	188,83,150
PF08242	84,175,228
PF00975	96,86,201
PF03435	86,105,216
PF01408	203,130,86
PF21390	221,90,101
PF00067	186,107,85
PF13649	83,191,81
PF00664	192,71,195
PF11638	68,215,162
PF00308	98,57,188
PF08299	202,116,59
PF00712	102,220,62
PF02767	117,221,56
PF02768	198,200,68
PF13275	195,170,74
PF02463	125,81,211
PF00204	177,78,187
PF01751	95,197,184
PF00986	74,185,174
PF00521	175,188,87
PF03989	98,192,72
PF12732	88,207,86
PF01740	192,113,227
PF13581	50,111,195
PF04542	76,213,209
PF04539	82,213,79
PF04545	105,192,55
PF08279	167,180,62
PF02829	77,76,182
PF05552	180,103,66
PF21088	209,97,213
PF00924	158,193,48
PF21082	212,217,107
PF02403	187,59,93
PF00587	186,139,49
PF02575	192,78,80
PF21176	219,61,223
PF02132	100,185,57
PF13662	105,88,200
PF21175	80,105,225
PF04101	184,69,99
PF06925	181,84,200
PF00289	58,136,218
PF02786	201,138,88
PF02785	102,108,206
PF00682	101,219,106
PF02436	208,209,54
PF14492	100,215,163
PF03764	124,112,226
PF00679	187,92,143
PF05848	184,97,210
PF17727	75,110,179
PF02151	199,108,220
PF00217	70,218,92
PF02861	197,215,65
PF17871	104,126,223
PF07724	218,89,218
PF10431	60,214,215
PF18073	211,59,122
PF06745	87,213,124
PF13541	181,131,73
PF02457	192,215,59
PF10635	87,197,135
PF07883	192,69,64
PF00150	71,204,146
PF04616	189,167,82
PF17851	83,189,226
PF13347	229,71,146
PF04198	95,161,198
PF00676	101,216,143
PF02779	187,125,63
PF02780	162,53,210
PF02817	56,210,135
PF00198	46,180,173
PF07992	181,213,76
PF02852	227,59,161
PF00158	217,84,115
PF00874	55,195,197
PF03610	218,220,69
PF00359	58,185,217
PF02302	175,201,63
PF03611	84,214,127
PF00596	73,229,200
PF03099	97,214,117
PF01128	153,210,65
PF02542	196,142,95
PF03129	208,136,84
PF09180	147,198,66
PF00749	92,203,154
PF19269	191,78,214
PF01406	71,147,229
PF09190	71,196,206
PF00636	60,73,203
PF00303	88,94,215
PF00186	76,204,62
PF13289	174,219,56
PF18185	54,105,210
PF01964	206,208,77
PF02511	214,63,216
PF08032	211,80,135
PF00588	195,146,73
PF05991	69,138,182
PF03143	85,175,183
PF00471	152,218,70
PF00584	54,100,189
PF02357	125,61,179
PF00467	83,214,55
PF03946	105,125,227
PF00298	97,126,221
PF00687	122,210,62
PF13561	207,187,59
PF04561	181,175,58
PF04565	97,185,91
PF10385	213,81,171
