#BGC Name	Family Number
BGC0000002	2
BGC0000002.1	2
BGC0000026	48
BGC0000026.1	48
BGC0000033	62
BGC0000033.1	62
BGC0000078	148
BGC0000078.1	148
BGC0000082	156
BGC0000082.1	156
BGC0000199	381
BGC0000199.1	381
BGC0000210	402
BGC0000210.1	402
BGC0000229	440
BGC0000229.1	440
BGC0000247	474
BGC0000247.1	474
BGC0000262	502
BGC0000262.1	502
BGC0000239	530
BGC0000239.1	530
BGC0000267	530
BGC0000267.1	530
BGC0000276.1	530
BGC0000277	532
BGC0000277.1	532
BGC0000283	544
BGC0000283.1	544
BGC0000690	1329
BGC0000690.1	1329
BGC0000691	1331
BGC0000691.1	1331
BGC0000692	1333
BGC0000692.1	1333
BGC0000693	1335
BGC0000693.1	1335
BGC0000694	1335
BGC0000694.1	1335
BGC0000689	1343
BGC0000689.1	1343
BGC0000696	1343
BGC0000696.1	1343
BGC0000697.1	1343
BGC0000714	1343
BGC0000714.1	1343
BGC0001603	1343
BGC0001603.1	1343
BGC0000699	1346
BGC0000699.1	1346
BGC0000700	1348
BGC0000700.1	1348
BGC0000701	1350
BGC0000701.1	1350
BGC0000702	1359
BGC0000702.1	1359
BGC0000703	1359
BGC0000704	1359
BGC0000704.1	1359
BGC0000705	1359
BGC0000705.1	1359
BGC0000708	1364
BGC0000708.1	1364
BGC0000709	1370
BGC0000709.1	1370
BGC0000710.1	1370
BGC0000711	1370
BGC0000711.1	1370
BGC0000712	1371
BGC0000712.1	1371
BGC0000713	1374
BGC0000713.1	1374
BGC0000715	1380
BGC0000715.1	1380
BGC0000716	1380
BGC0000716.1	1380
BGC0000717.1	1381
BGC0000724	1381
BGC0000724.1	1381
BGC0000719	1388
BGC0000719.1	1388
BGC0000720	1388
BGC0000720.1	1388
BGC0000721	1388
BGC0000721.1	1388
BGC0000722	1389
BGC0000722.1	1389
BGC0000723	1392
BGC0000723.1	1392
BGC0001004	1939
BGC0001004.1	1939
BGC0001183	1939
BGC0001183.1	1939
BGC0002550	1939
BGC0001038	2005
BGC0001038.1	2005
BGC0001074	2078
BGC0001074.1	2078
BGC0001558	2078
BGC0001558.1	2078
BGC0001568	2078
BGC0001568.1	2078
BGC0001438	2752
BGC0001438.1	2752
BGC0001439	2754
BGC0001439.1	2754
BGC0001452	2916
BGC0001452.1	2916
BGC0001522	2916
BGC0001522.1	2916
BGC0001619	3104
BGC0001619.1	3104
BGC0001851	3543
BGC0001851.1	3543
BGC0001852	3543
BGC0001852.1	3543
BGC0001877	3585
BGC0001877.1	3585
BGC0001931	3681
BGC0001931.1	3681
BGC0001979	3764
BGC0001979.1	3764
BGC0002033	3863
BGC0002033.1	3863
BGC0002085	3917
BGC0002088	3920
BGC0002129	3957
BGC0000268	3967
BGC0000268.1	3967
BGC0001384	3967
BGC0001384.1	3967
BGC0001769	3967
BGC0001769.1	3967
BGC0002140	3967
BGC0002361	3967
BGC0002141	3968
BGC0002142	3969
BGC0002349	4148
