#BGC Name	Family Number
BGC0000014	25
BGC0000020	36
BGC0001511	36
BGC0000034	64
BGC0000064	123
BGC0000064.1	123
BGC0001268	123
BGC0001268.1	123
BGC0002261	123
BGC0000066	126
BGC0000067	126
BGC0000074	126
BGC0000090	126
BGC0000075	142
BGC0000081	154
BGC0000081.1	154
BGC0000091	173
BGC0000106	201
BGC0000122	233
BGC0000108	239
BGC0000125	239
BGC0001690	239
BGC0002540	239
BGC0000138	265
BGC0002106	265
BGC0000141	269
BGC0000141.1	269
BGC0000145	278
BGC0000145.1	278
BGC0001041	278
BGC0001041.1	278
BGC0000150	288
BGC0000150.1	288
BGC0000175	334
BGC0000178	340
BGC0000180	344
BGC0000186	355
BGC0000186.1	355
BGC0000257	492
BGC0000287	551
BGC0000287.1	551
BGC0001871.1	551
BGC0000289	555
BGC0000289.1	555
BGC0000290	557
BGC0000290.1	557
BGC0000291	560
BGC0000291.1	560
BGC0000292	561
BGC0000292.1	561
BGC0000296	569
BGC0000296.1	569
BGC0000297	571
BGC0000297.1	571
BGC0000298	573
BGC0000298.1	573
BGC0000300	576
BGC0000300.1	576
BGC0000301	578
BGC0000301.1	578
BGC0000303	582
BGC0000303.1	582
BGC0000304	584
BGC0000304.1	584
BGC0000306	588
BGC0000306.1	588
BGC0000307	590
BGC0000307.1	590
BGC0000308	592
BGC0000308.1	592
BGC0000309	594
BGC0000309.1	594
BGC0000310	596
BGC0000310.1	596
BGC0000312	600
BGC0000312.1	600
BGC0000313	602
BGC0000313.1	602
BGC0000314	604
BGC0000314.1	604
BGC0000315	607
BGC0000315.1	607
BGC0001370	607
BGC0001370.1	607
BGC0000316	608
BGC0000316.1	608
BGC0000319	612
BGC0000319.1	612
BGC0000320	614
BGC0000320.1	614
BGC0000321	616
BGC0000321.1	616
BGC0000324	622
BGC0000324.1	622
BGC0000325	624
BGC0000325.1	624
BGC0000326	626
BGC0000326.1	626
BGC0000327	628
BGC0000327.1	628
BGC0000328	630
BGC0000329	632
BGC0000329.1	632
BGC0000330	634
BGC0000330.1	634
BGC0000331	639
BGC0000331.1	639
BGC0000332	639
BGC0000332.1	639
BGC0001018	639
BGC0001018.1	639
BGC0000333	640
BGC0000333.1	640
BGC0000335	644
BGC0000335.1	644
BGC0000336	646
BGC0000336.1	646
BGC0000337	648
BGC0000337.1	648
BGC0000339	651
BGC0000339.1	651
BGC0000340	653
BGC0000341	656
BGC0000341.1	656
BGC0000342	657
BGC0000342.1	657
BGC0000343	659
BGC0000343.1	659
BGC0000344	661
BGC0000344.1	661
BGC0000345	663
BGC0000345.1	663
BGC0001829	663
BGC0001829.1	663
BGC0000346	665
BGC0000346.1	665
BGC0000347	667
BGC0000347.1	667
BGC0000348	669
BGC0000348.1	669
BGC0000349	672
BGC0000349.1	672
BGC0000350	673
BGC0000350.1	673
BGC0000351	675
BGC0000352	677
BGC0000352.1	677
BGC0000353	680
BGC0000353.1	680
BGC0000354	681
BGC0000354.1	681
BGC0000355	683
BGC0000355.1	683
BGC0000356	685
BGC0000356.1	685
BGC0000357	688
BGC0000357.1	688
BGC0000359	690
BGC0000359.1	690
BGC0000360	692
BGC0000360.1	692
BGC0000362	696
BGC0000362.1	696
BGC0000363	700
BGC0000363.1	700
BGC0000364	700
BGC0000364.1	700
BGC0000365	701
BGC0000365.1	701
BGC0000366	704
BGC0000366.1	704
BGC0000367	705
BGC0000367.1	705
BGC0000368	707
BGC0000368.1	707
BGC0000369	709
BGC0000369.1	709
BGC0000372	714
BGC0000372.1	714
BGC0000373	716
BGC0000373.1	716
BGC0000374	718
BGC0000374.1	718
BGC0000375	720
BGC0002295	720
BGC0000376	722
BGC0000376.1	722
BGC0000377	724
BGC0000377.1	724
BGC0000378	726
BGC0000378.1	726
BGC0000379	728
BGC0000379.1	728
BGC0000380	730
BGC0000380.1	730
BGC0000381	732
BGC0000381.1	732
BGC0000382	734
BGC0000383	736
BGC0000383.1	736
BGC0000384	738
BGC0000384.1	738
BGC0000385	740
BGC0000385.1	740
BGC0000386	742
BGC0000388	746
BGC0000388.1	746
BGC0000389.1	748
BGC0001312	748
BGC0001312.1	748
BGC0000391	749
BGC0000391.1	749
BGC0000392	752
BGC0000392.1	752
BGC0000393	753
BGC0000393.1	753
BGC0000394	755
BGC0000394.1	755
BGC0000395	757
BGC0000395.1	757
BGC0000396	760
BGC0000396.1	760
BGC0000397	761
