#BGC Name	Clan Number	Family Number
AP018533.1.region001	0	0
AP018533.1.region002	1	1
AP018533.1.region003	2	2
AP018533.1.region004	3	3
AP018533.1.region005	4	4
AP018533.1.region006	5	5
AP018533.1.region007	6	6
AP018533.1.region008	7	7
BGC0000082	8	8
BGC0000282	9	9
BGC0000324	10	10
BGC0000501	11	11
BGC0000663	12	12
BGC0000833	13	13
BGC0000943	14	14
BGC0001483	15	15
BGC0001543	16	16
BGC0002174	17	17
BGC0002285	18	18
BGC0002293	19	19
BGC0002452	20	20
BGC0002544	21	21
BGC0002656	22	22
BGC0002669	23	23
BGC0002683	24	24
FP929039.1.region001	25	25
FP929039.1.region002	26	26
FP929039.1.region003	27	27
FP929039.1.region004	28	28
FP929039.1.region005	29	29
FP929039.1.region006	30	30
GCA_000085225.1_ASM8522v1_genomic	31	31
GCF_008000775.1	33	33
GCF_018304705.1	34	34
GCF_900066015.1	36	36
