BGC	Accession ID	Description	Product Prediction	BiG-SCAPE class	Organism	Taxonomy
BGC0000175.1	BGC0000175.1	Cycloheximide / actiphenol biosynthetic gene cluster	lantipeptide.transatpks	Others	Streptomyces sp. YIM 56141	Bacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Streptomycineae,Streptomycetaceae,Streptomyces
BGC0000385.1	BGC0000385.1	Lysobactin biosynthetic gene cluster	lantipeptide.transatpks.nrps	Others	Lysobacter sp. ATCC 53042	Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Lysobacter
BGC0000468.1	BGC0000468.1	Bottromycin A2 biosynthetic gene cluster	bacteriocin.bottromycin	RiPPs	Streptomyces bottropensis	Bacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Streptomycineae,Streptomycetaceae,Streptomyces
BGC0000469.1	BGC0000469.1	Bottromycin A2 biosynthetic gene cluster	bacteriocin.bottromycin	RiPPs	Streptomyces sp. BC16019	Bacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Streptomycineae,Streptomycetaceae,Streptomyces
BGC0000470.1	BGC0000470.1	Bottromycin D biosynthetic gene cluster	bacteriocin.bottromycin	RiPPs	Streptomyces sp. WMMB 272	Bacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Streptomycineae,Streptomycetaceae,Streptomyces
BGC0000471.1	BGC0000471.1	Viridisamide A biosynthetic gene cluster	bacteriocin.cyanobactin	RiPPs	Oscillatoria nigro-viridis PCC 7112	Bacteria,Cyanobacteria,Oscillatoriophycideae,Oscillatoriales,Oscillatoria
BGC0000472.1	BGC0000472.1	Anacyclamide biosynthetic gene cluster	cyanobactin	RiPPs	Anabaena sp. 90	Bacteria,Cyanobacteria,Nostocales,Nostocaceae,Anabaena
BGC0000473.1	BGC0000473.1	Microcyclamide biosynthetic gene cluster	bacteriocin.cyanobactin	RiPPs	Microcystis aeruginosa NIES-298	Bacteria,Cyanobacteria,Oscillatoriophycideae,Chroococcales,Microcystis
BGC0000474.1	BGC0000474.1	Microcyclamide biosynthetic gene cluster	bacteriocin.cyanobactin	RiPPs	Microcystis aeruginosa PCC 7806	Bacteria,Cyanobacteria,Oscillatoriophycideae,Chroococcales,Microcystis
BGC0000475.1	BGC0000475.1	Patellamide A / patellamide C biosynthetic gene cluster	bacteriocin.cyanobactin	RiPPs	Prochloron didemni	Bacteria,Cyanobacteria,Prochlorales,Prochloraceae,Prochloron
