#BGC Name	Family Number
BGC0000142	271
BGC0000175	334
BGC0000175.1	334
BGC0000227	436
BGC0000413	793
BGC0000471	907
BGC0000471.1	907
BGC0000483	907
BGC0000483.1	907
BGC0000472	909
BGC0000472.1	909
BGC0001505	909
BGC0001505.1	909
BGC0001933.1	909
BGC0000477	918
BGC0000477.1	918
BGC0000476	921
BGC0000476.1	921
BGC0000478	921
BGC0000478.1	921
BGC0000482	921
BGC0000482.1	921
BGC0000479	922
BGC0000479.1	922
BGC0000473	925
BGC0000473.1	925
BGC0000474	925
BGC0000474.1	925
BGC0000475	925
BGC0000475.1	925
BGC0000480	925
BGC0000480.1	925
BGC0000481	926
BGC0000481.1	926
BGC0000484	932
BGC0000484.1	932
BGC0000486	936
BGC0000486.1	936
BGC0000487	938
BGC0000487.1	938
BGC0000488	940
BGC0000488.1	940
BGC0000489	942
BGC0000489.1	942
BGC0000490	944
BGC0000490.1	944
BGC0000494	948
BGC0000494.1	948
BGC0000495	950
BGC0000495.1	950
BGC0000496	953
BGC0000496.1	953
BGC0000546	953
BGC0000546.1	953
BGC0000553	953
BGC0000497	955
BGC0000497.1	955
BGC0000552	955
BGC0000552.1	955
BGC0000498	957
BGC0000498.1	957
BGC0000561	957
BGC0000561.1	957
BGC0000499	958
BGC0000499.1	958
BGC0000500	960
BGC0000500.1	960
BGC0000501	962
BGC0000501.1	962
BGC0000502	964
BGC0000502.1	964
BGC0000504	968
BGC0000504.1	968
BGC0000507	972
BGC0000507.1	972
BGC0000508	975
BGC0000508.1	975
BGC0000514	975
BGC0000514.1	975
BGC0000509	976
BGC0000509.1	976
BGC0000506	981
BGC0000506.1	981
BGC0000511	981
BGC0000511.1	981
BGC0000559	981
BGC0000559.1	981
BGC0000513	982
BGC0000515	986
BGC0000515.1	986
BGC0000516	988
BGC0000516.1	988
BGC0000517	990
BGC0000517.1	990
BGC0000518	992
BGC0000518.1	992
BGC0000519	994
BGC0000519.1	994
BGC0000520	996
BGC0000521	998
BGC0000521.1	998
BGC0000522	1000
BGC0000522.1	1000
BGC0000523	1002
BGC0000523.1	1002
BGC0000525	1004
BGC0000525.1	1004
BGC0000527	1008
BGC0000527.1	1008
BGC0000528	1010
BGC0000528.1	1010
BGC0000529	1013
BGC0000529.1	1013
BGC0002635	1013
BGC0000532	1018
BGC0000532.1	1018
BGC0000530	1021
BGC0000530.1	1021
BGC0000531	1021
BGC0000531.1	1021
BGC0000533	1021
BGC0000533.1	1021
BGC0000526	1023
BGC0000526.1	1023
BGC0000534	1023
BGC0000534.1	1023
BGC0001788	1023
BGC0001788.1	1023
BGC0000537	1029
BGC0000537.1	1029
BGC0001789	1029
BGC0001789.1	1029
BGC0000535	1031
BGC0000535.1	1031
BGC0000536	1031
BGC0000536.1	1031
BGC0000538	1031
BGC0000538.1	1031
BGC0000539	1032
BGC0000539.1	1032
BGC0000540	1034
BGC0000540.1	1034
BGC0000541	1039
BGC0000541.1	1039
BGC0000542	1039
BGC0000542.1	1039
BGC0000543	1040
BGC0000543.1	1040
BGC0000544	1042
BGC0000544.1	1042
BGC0000545	1044
BGC0000545.1	1044
BGC0000547	1048
BGC0000547.1	1048
BGC0000549	1052
BGC0000549.1	1052
BGC0000551	1056
BGC0000551.1	1056
BGC0000554	1062
BGC0000554.1	1062
BGC0000555	1064
BGC0000555.1	1064
BGC0000556	1066
BGC0000556.1	1066
BGC0000557	1068
BGC0000557.1	1068
BGC0000558	1070
BGC0000558.1	1070
BGC0000560	1074
BGC0000560.1	1074
BGC0000563	1081
BGC0000563.1	1081
BGC0001226	1081
BGC0000565	1084
BGC0000565.1	1084
BGC0000566	1086
BGC0000566.1	1086
BGC0000567	1088
BGC0000568	1090
BGC0000569	1092
BGC0000570	1094
BGC0000571	1096
BGC0000572	1098
BGC0000572.1	1098
BGC0000573	1100
BGC0000574	1102
BGC0000575	1104
BGC0000576	1106
BGC0000577	1108
BGC0000579	1112
BGC0000580	1114
BGC0000581	1116
BGC0000581.1	1116
BGC0000582	1118
BGC0000582.1	1118
BGC0000583	1120
BGC0000583.1	1120
BGC0000585	1124
BGC0000591	1136
BGC0000591.1	1136
BGC0000593	1140
BGC0000593.1	1140
BGC0000592	1143
BGC0000592.1	1143
BGC0000594	1143
BGC0000594.1	1143
BGC0000598	1150
BGC0000598.1	1150
BGC0000599	1152
BGC0000599.1	1152
BGC0000600	1154
BGC0000600.1	1154
BGC0000601	1156
BGC0000601.1	1156
BGC0000602	1158
BGC0000602.1	1158
BGC0000603	1160
BGC0000603.1	1160
BGC0000604	1162
BGC0000604.1	1162
BGC0000605	1164
BGC0000605.1	1164
BGC0000606	1166
BGC0000606.1	1166
BGC0000607	1168
BGC0000607.1	1168
BGC0000608	1170
BGC0000608.1	1170
BGC0000609	1172
BGC0000609.1	1172
BGC0000610	1174
BGC0000610.1	1174
BGC0000612	1178
BGC0000612.1	1178
BGC0000613	1181
BGC0000613.1	1181
BGC0001860	1181
BGC0001860.1	1181
BGC0000611	1183
BGC0000611.1	1183
BGC0000614	1183
BGC0000614.1	1183
BGC0000655.1	1183
BGC0000615	1184
BGC0000615.1	1184
BGC0000616	1186
BGC0000616.1	1186
BGC0000617	1188
BGC0000617.1	1188
BGC0000618	1190
BGC0000618.1	1190
BGC0000620	1194
BGC0000620.1	1194
BGC0000624	1202
BGC0000624.1	1202
BGC0000625	1204
BGC0000626	1206
BGC0000626.1	1206
BGC0000627	1208
BGC0000628	1210
BGC0000628.1	1210
BGC0000796	1534
BGC0000809	1558
BGC0000809.1	1558
BGC0000874	1683
BGC0000874.1	1683
BGC0000986	1904
BGC0000986.1	1904
BGC0001020	1969
BGC0001020.1	1969
BGC0001100	2122
BGC0001145	2204
BGC0001145.1	2204
BGC0001146	2206
BGC0001146.1	2206
BGC0001148	2210
BGC0001148.1	2210
BGC0001155	2224
BGC0001155.1	2224
BGC0000468	2229
BGC0000468.1	2229
BGC0000469	2229
BGC0000469.1	2229
BGC0000470	2229
BGC0000470.1	2229
BGC0001157	2229
BGC0001157.1	2229
BGC0001167	2248
BGC0001167.1	2248
BGC0000564	2254
BGC0000564.1	2254
BGC0001170	2254
BGC0001170.1	2254
BGC0001171	2256
BGC0001171.1	2256
BGC0001173	2259
BGC0001174	2261
BGC0001176	2263
BGC0001188	2286
BGC0001209	2327
BGC0001210	2329
BGC0001210.1	2329
BGC0000485	2354
BGC0000485.1	2354
BGC0000491	2354
BGC0000491.1	2354
BGC0001222	2354
BGC0001222.1	2354
BGC0001229	2368
BGC0001229.1	2368
BGC0001289	2470
BGC0001289.1	2470
BGC0001291	2474
BGC0001291.1	2474
BGC0001307	2506
BGC0001311	2512
BGC0001311.1	2512
BGC0001356	2593
BGC0001364	2608
BGC0001364.1	2608
BGC0001391	2659
BGC0001391.1	2659
BGC0001392	2661
BGC0001392.1	2661
BGC0001398	2673
BGC0001407	2690
BGC0001407.1	2690
BGC0001435	2746
BGC0001473	2820
BGC0001473.1	2820
BGC0001474	2822
BGC0001474.1	2822
BGC0001485	2843
BGC0001485.1	2843
BGC0001546.1	2843
BGC0001493	2858
BGC0001494	2860
BGC0001494.1	2860
BGC0001496	2864
BGC0001506	2885
BGC0001507	2885
BGC0002053	2885
BGC0002074	2885
BGC0001539	2947
BGC0001548	2964
BGC0001549	2966
BGC0001550	2966
BGC0001551	2966
BGC0001552	2966
BGC0001576	3019
BGC0001576.1	3019
BGC0000503	3026
BGC0000503.1	3026
BGC0001579	3026
BGC0001579.1	3026
BGC0002346	3026
BGC0001582	3030
BGC0001582.1	3030
BGC0001601	3068
BGC0001601.1	3068
BGC0000619	3071
BGC0000619.1	3071
BGC0001388	3071
BGC0001388.1	3071
BGC0001602	3071
BGC0001602.1	3071
BGC0001611.1	3089
BGC0001618	3101
BGC0001618.1	3101
BGC0001632	3129
BGC0001632.1	3129
BGC0001633	3131
BGC0000578	3133
BGC0001634	3133
BGC0001639	3143
BGC0001640	3145
BGC0001640.1	3145
BGC0001645	3154
BGC0001655	3174
BGC0001660	3184
BGC0001660.1	3184
BGC0001669	3202
BGC0001669.1	3202
BGC0001701	3257
BGC0001701.1	3257
BGC0001707	3269
BGC0001707.1	3269
BGC0001727	3307
BGC0001727.1	3307
BGC0001733	3320
BGC0001733.1	3320
BGC0001735	3322
BGC0001735.1	3322
BGC0001743	3338
BGC0001743.1	3338
BGC0001745	3340
