#BGC Name	Family Number
BGC0000014	25
BGC0000020	36
BGC0001511	36
BGC0000026	48
BGC0000033	62
BGC0000034	64
BGC0000036	68
BGC0000064	122
BGC0001268	122
BGC0000065	124
BGC0000067	128
BGC0000066	140
BGC0000074	140
BGC0000075	142
BGC0000083	158
BGC0000083.1	158
BGC0000090	171
BGC0000091	173
BGC0000106	201
BGC0000118	225
BGC0000119	225
BGC0000122	233
BGC0000136	261
BGC0001759	261
BGC0000137	263
BGC0000138	265
BGC0002106	265
BGC0000165	316
BGC0000171	326
BGC0000171.1	326
BGC0000172	328
BGC0000172.1	328
BGC0000173	330
BGC0000173.1	330
BGC0000174	332
BGC0000174.1	332
BGC0000175	334
BGC0000175.1	334
BGC0000176	336
BGC0000176.1	336
BGC0000177	338
BGC0000177.1	338
BGC0000178	340
BGC0000178.1	340
BGC0000179	342
BGC0000179.1	342
BGC0000180	344
BGC0000180.1	344
BGC0000182	348
BGC0000182.1	348
BGC0000184	352
BGC0000184.1	352
BGC0000185	353
BGC0000185.1	353
BGC0000186	355
BGC0000186.1	355
BGC0000194	371
BGC0000194.1	371
BGC0000195	373
BGC0000195.1	373
BGC0000197	377
BGC0000197.1	377
BGC0000198	379
BGC0000199	381
BGC0000199.1	381
BGC0000200	384
BGC0000200.1	384
BGC0000204	392
BGC0000204.1	392
BGC0000205	393
BGC0000205.1	393
BGC0000208	399
BGC0000208.1	399
BGC0000275	399
BGC0000275.1	399
BGC0000209	400
BGC0000209.1	400
BGC0000210	402
BGC0000210.1	402
BGC0000211	404
BGC0000211.1	404
BGC0000191	407
BGC0000191.1	407
BGC0000192	407
BGC0000192.1	407
BGC0000212	407
BGC0000212.1	407
BGC0000215	413
BGC0000215.1	413
BGC0000271	413
BGC0000271.1	413
BGC0000272	413
BGC0000272.1	413
BGC0000216	414
BGC0000216.1	414
BGC0000217	419
BGC0000217.1	419
BGC0000218	419
BGC0000218.1	419
BGC0000219	420
BGC0000219.1	420
BGC0000220	423
BGC0000220.1	423
BGC0002366	423
BGC0000221	424
BGC0000221.1	424
BGC0000222	426
BGC0000222.1	426
BGC0000190	431
BGC0000190.1	431
BGC0000224	431
BGC0000224.1	431
BGC0000225	432
BGC0000225.1	432
BGC0000226	434
BGC0000226.1	434
BGC0000227	438
BGC0000227.1	438
BGC0000228.1	438
BGC0000230	441
BGC0000230.1	441
BGC0000201	444
BGC0000201.1	444
BGC0000202	444
BGC0000202.1	444
BGC0000203	444
BGC0000203.1	444
BGC0000229	444
BGC0000229.1	444
BGC0000231	444
BGC0000231.1	444
BGC0000268	444
BGC0000268.1	444
BGC0001072	444
BGC0001072.1	444
BGC0001895	444
BGC0001895.1	444
BGC0001904	444
BGC0001904.1	444
BGC0002028	444
BGC0002028.1	444
BGC0002477	444
BGC0000232	445
BGC0000232.1	445
BGC0000233	448
BGC0000233.1	448
BGC0000223	450
BGC0000223.1	450
BGC0000234	450
BGC0000234.1	450
BGC0002047	450
BGC0002070	450
BGC0000237	455
BGC0000237.1	455
BGC0000238	455
BGC0000238.1	455
BGC0000240	464
BGC0000240.1	464
BGC0000241	464
BGC0000241.1	464
BGC0001693	464
BGC0001693.1	464
BGC0000242	465
BGC0000242.1	465
BGC0000245	472
BGC0000245.1	472
BGC0000246.1	475
BGC0000247	475
BGC0000247.1	475
BGC0000248	476
BGC0000253	485
BGC0000253.1	485
BGC0000254	486
BGC0000254.1	486
BGC0000255	488
BGC0000255.1	488
BGC0000256	490
BGC0000256.1	490
BGC0000257	492
BGC0000258	494
BGC0000259	496
BGC0002675	496
BGC0000260	498
BGC0000261	500
BGC0000261.1	500
BGC0000262	503
BGC0000262.1	503
BGC0000263	504
BGC0000263.1	504
BGC0000264	506
BGC0000264.1	506
BGC0000266	510
BGC0000266.1	510
BGC0000269	516
BGC0000269.1	516
BGC0000273	524
BGC0000273.1	524
BGC0000274	526
BGC0000274.1	526
BGC0000279	536
BGC0000279.1	536
BGC0000280	540
BGC0000280.1	540
BGC0000281	540
BGC0000281.1	540
BGC0000282	541
BGC0000282.1	541
BGC0000284	545
BGC0000284.1	545
BGC0000285	547
BGC0000285.1	547
BGC0000286	549
BGC0000289	555
BGC0000289.1	555
BGC0000290	557
BGC0000290.1	557
BGC0000334	642
BGC0001565	642
BGC0000335	644
BGC0000346	665
BGC0000353	679
BGC0000365	701
BGC0000380	730
BGC0000393	753
