#BGC Name	Clan Number	Family Number
BGC0000002	1335	2
BGC0000002.1	1335	2
BGC0000082	1335	156
BGC0000082.1	1335	156
BGC0000693	1335	1335
BGC0000693.1	1335	1335
BGC0000694	1335	1335
BGC0000694.1	1335	1335
BGC0000701	1335	1350
BGC0000701.1	1335	1350
BGC0000026	48	48
BGC0000026.1	48	48
BGC0000712	48	1371
BGC0000712.1	48	1371
BGC0001038	48	2005
BGC0001038.1	48	2005
BGC0000033	1939	62
BGC0000033.1	1939	62
BGC0000691	1939	1331
BGC0000691.1	1939	1331
BGC0000723	1939	1392
BGC0000723.1	1939	1392
BGC0001004	1939	1939
BGC0001004.1	1939	1939
BGC0001183	1939	1939
BGC0001183.1	1939	1939
BGC0002550	1939	1939
BGC0001619	1939	3104
BGC0001619.1	1939	3104
BGC0002088	1939	3920
BGC0000078	440	148
BGC0000078.1	440	148
BGC0000229	440	440
BGC0000229.1	440	440
BGC0000199	381	381
BGC0000199.1	381	381
BGC0000210	381	402
BGC0000210.1	381	402
BGC0000713	381	1374
BGC0000713.1	381	1374
BGC0001439	381	2754
BGC0001439.1	381	2754
BGC0002085	381	3917
BGC0000247	474	474
BGC0000247.1	474	474
BGC0000262	474	502
BGC0000262.1	474	502
BGC0000239	474	530
BGC0000239.1	474	530
BGC0000267	474	530
BGC0000267.1	474	530
BGC0000276.1	474	530
BGC0000277	3969	532
BGC0000277.1	3969	532
BGC0000709	3969	1370
BGC0000709.1	3969	1370
BGC0000710.1	3969	1370
BGC0000711	3969	1370
BGC0000711.1	3969	1370
BGC0001877	3969	3585
BGC0001877.1	3969	3585
BGC0002142	3969	3969
BGC0000283	3957	544
BGC0000283.1	3957	544
BGC0000690	3957	1329
BGC0000690.1	3957	1329
BGC0000699	3957	1346
BGC0000699.1	3957	1346
BGC0001074	3957	2078
BGC0001074.1	3957	2078
BGC0001558	3957	2078
BGC0001558.1	3957	2078
BGC0001568	3957	2078
BGC0001568.1	3957	2078
BGC0002129	3957	3957
BGC0002349	3957	4148
BGC0000692	3681	1333
BGC0000692.1	3681	1333
BGC0000689	3681	1343
BGC0000689.1	3681	1343
BGC0000696	3681	1343
BGC0000696.1	3681	1343
BGC0000697.1	3681	1343
BGC0000714	3681	1343
BGC0000714.1	3681	1343
BGC0001603	3681	1343
BGC0001603.1	3681	1343
BGC0001931	3681	3681
BGC0001931.1	3681	3681
BGC0002033	3681	3863
BGC0002033.1	3681	3863
BGC0000700	3967	1348
BGC0000700.1	3967	1348
BGC0000715	3967	1380
BGC0000715.1	3967	1380
BGC0000716	3967	1380
BGC0000716.1	3967	1380
BGC0001438	3967	2752
BGC0001438.1	3967	2752
BGC0001851	3967	3543
BGC0001851.1	3967	3543
BGC0001852	3967	3543
BGC0001852.1	3967	3543
BGC0000268	3967	3967
BGC0000268.1	3967	3967
BGC0001384	3967	3967
BGC0001384.1	3967	3967
BGC0001769	3967	3967
BGC0001769.1	3967	3967
BGC0002140	3967	3967
BGC0002361	3967	3967
BGC0000702	3968	1359
BGC0000702.1	3968	1359
BGC0000703	3968	1359
BGC0000704	3968	1359
BGC0000704.1	3968	1359
BGC0000705	3968	1359
BGC0000705.1	3968	1359
BGC0000722	3968	1389
BGC0000722.1	3968	1389
BGC0002141	3968	3968
BGC0000708	1381	1364
BGC0000708.1	1381	1364
BGC0000717.1	1381	1381
BGC0000724	1381	1381
BGC0000724.1	1381	1381
BGC0001452	1381	2916
BGC0001452.1	1381	2916
BGC0001522	1381	2916
BGC0001522.1	1381	2916
BGC0001979	1381	3764
BGC0001979.1	1381	3764
BGC0000719	1388	1388
BGC0000719.1	1388	1388
BGC0000720	1388	1388
BGC0000720.1	1388	1388
BGC0000721	1388	1388
BGC0000721.1	1388	1388
