BGC	Accession ID	Description	Product Prediction	BiG-SCAPE class	Organism	Taxonomy
AP018533.1.region001	AP018533.1	AP018533.1 Clostridiales bacterium CCNA10 DNA, complete genome	Oxidative_glycerol	Others		
AP018533.1.region002	AP018533.1	AP018533.1 Clostridiales bacterium CCNA10 DNA, complete genome	TPP_AA_metabolism	Others		
AP018533.1.region003	AP018533.1	AP018533.1 Clostridiales bacterium CCNA10 DNA, complete genome	Rnf_complex	Others		
AP018533.1.region004	AP018533.1	AP018533.1 Clostridiales bacterium CCNA10 DNA, complete genome	glutamate2butyric	Others		
AP018533.1.region005	AP018533.1	AP018533.1 Clostridiales bacterium CCNA10 DNA, complete genome	Rnf_complex	Others		
AP018533.1.region006	AP018533.1	AP018533.1 Clostridiales bacterium CCNA10 DNA, complete genome	Others_HGD_unassigned	Others		
AP018533.1.region007	AP018533.1	AP018533.1 Clostridiales bacterium CCNA10 DNA, complete genome	GR_fatty_acids.Pyruvate2acetate-formate	Others		
AP018533.1.region008	AP018533.1	AP018533.1 Clostridiales bacterium CCNA10 DNA, complete genome	acetate2butyrate	Others		
BGC0000082	BGC0000082	Actinomadura kijaniata fructokinase gene, partial cds; kijanimicin gene cluster, complete sequence; and D-ala, D-ala carboxypeptidase, conserved hypothetical protein, permease, and selenium binding protein genes, complete cds	unknown	Others	Actinomadura kijaniata	Bacteria,Actinobacteria,Streptosporangiales,Thermomonosporaceae,Actinomadura
BGC0000282	BGC0000282	Streptomyces griseus subsp. griseus NBRC 13350 DNA, complete genome	unknown	Others	Streptomyces griseus subsp. griseus NBRC 13350	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0000324	BGC0000324	Streptomyces coelicolor A3(2) complete genome	unknown	Others	Streptomyces coelicolor A3(2)	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces albidoflavus group
BGC0000501	BGC0000501	Catenulispora acidiphila DSM 44928 chromosome, complete genome	unknown	Others	Catenulispora acidiphila DSM 44928	Bacteria,Actinobacteria,Catenulisporales,Catenulisporaceae,Catenulispora
