#BGC Name	Clan Number	Family Number
BGC0000014	4383	25
BGC0000365	4383	701
BGC0000365.1	4383	701
BGC0002044	4383	3876
BGC0002090	4383	3922
BGC0002606	4383	4383
BGC0000020	36	36
BGC0001511	36	36
BGC0000308	36	592
BGC0000308.1	36	592
BGC0001089	36	2104
BGC0001089.1	36	2104
BGC0001561	36	2989
BGC0001561.1	36	2989
BGC0001741	36	3334
BGC0001741.1	36	3334
BGC0000959	36	3900
BGC0000959.1	36	3900
BGC0002067	36	3900
BGC0002209	36	4025
BGC0002248	36	4060
BGC0002264	36	4072
BGC0002340	36	4139
BGC0000034	726	64
BGC0000374	726	718
BGC0000374.1	726	718
BGC0000378	726	726
BGC0000378.1	726	726
BGC0001100	726	2122
BGC0001100.1	726	2122
BGC0001416	726	2708
BGC0001416.1	726	2708
BGC0001451	726	2777
BGC0001451.1	726	2777
BGC0002164	726	3988
BGC0000064	123	123
BGC0000064.1	123	123
BGC0001268	123	123
BGC0001268.1	123	123
BGC0002261	123	123
BGC0000818	123	1576
BGC0000818.1	123	1576
BGC0001679	123	3220
BGC0001679.1	123	3220
BGC0001726	123	3305
BGC0001726.1	123	3305
BGC0002235	123	4050
BGC0002465	123	4258
BGC0000066	4158	126
BGC0000067	4158	126
BGC0000074	4158	126
BGC0000090	4158	126
BGC0000323	4158	838
BGC0000323.1	4158	838
BGC0000435	4158	838
BGC0000435.1	4158	838
BGC0001790	4158	3428
BGC0001790.1	4158	3428
BGC0002188	4158	4008
BGC0002359	4158	4158
BGC0000075	142	142
BGC0000921	142	1777
BGC0000966	142	1864
BGC0000966.1	142	1864
BGC0000985	142	1902
BGC0000985.1	142	1902
BGC0001582	142	3030
BGC0001582.1	142	3030
BGC0001758	142	3365
BGC0001758.1	142	3365
BGC0002035	142	3866
BGC0002035.1	142	3866
BGC0000081	3893	154
BGC0000081.1	3893	154
BGC0000341	3893	656
BGC0000341.1	3893	656
BGC0001117	3893	2154
BGC0001117.1	3893	2154
BGC0001841	3893	3521
BGC0001841.1	3893	3521
BGC0002059	3893	3893
BGC0002412	3893	4207
BGC0002501	3893	4293
BGC0002680	3893	4452
BGC0000371	3893	4467
BGC0000371.1	3893	4467
BGC0002696	3893	4467
BGC0000091	3851	173
BGC0000432	3851	832
BGC0000432.1	3851	832
BGC0000305	3851	3767
BGC0000305.1	3851	3767
BGC0001509	3851	3767
BGC0001509.1	3851	3767
BGC0001842	3851	3767
BGC0001842.1	3851	3767
BGC0001980	3851	3767
BGC0001980.1	3851	3767
BGC0002092	3851	3767
BGC0002026	3851	3851
BGC0002026.1	3851	3851
BGC0000106	201	201
BGC0000406	201	779
BGC0000406.1	201	779
BGC0000416	201	799
BGC0000416.1	201	799
BGC0001692	201	799
BGC0001692.1	201	799
BGC0000951	201	1835
BGC0000951.1	201	1835
BGC0000995	201	2117
BGC0000995.1	201	2117
BGC0001096.1	201	2117
BGC0001108	201	2139
BGC0001108.1	201	2139
BGC0001109	201	2139
BGC0001109.1	201	2139
BGC0000449	201	3526
BGC0000449.1	201	3526
BGC0001843	201	3526
BGC0001843.1	201	3526
BGC0001845	201	3529
BGC0000122	875	233
BGC0000454	875	875
BGC0000454.1	875	875
BGC0001621	875	3107
BGC0001621.1	875	3107
BGC0001984	875	3771
BGC0001984.1	875	3771
BGC0002617	875	4394
BGC0002678	875	4450
BGC0000108	265	239
BGC0000125	265	239
BGC0001690	265	239
BGC0002540	265	239
BGC0000138	265	265
BGC0002106	265	265
BGC0001556	265	2980
BGC0001556.1	265	2980
BGC0002075	265	3908
BGC0002210	265	4026
BGC0002286	265	4089
BGC0000141	3276	269
BGC0000141.1	3276	269
BGC0000399	3276	765
BGC0000399.1	3276	765
BGC0001112	3276	2144
BGC0001112.1	3276	2144
BGC0001127	3276	2172
BGC0001127.1	3276	2172
BGC0001381	3276	2641
BGC0001711	3276	3276
BGC0001711.1	3276	3276
BGC0000145	4349	278
BGC0000145.1	4349	278
BGC0001041	4349	278
BGC0001041.1	4349	278
BGC0000460	4349	886
BGC0000460.1	4349	886
BGC0001029	4349	1987
BGC0001029.1	4349	1987
BGC0001479.1	4349	2833
BGC0001562	4349	2992
BGC0001562.1	4349	2992
BGC0001792	4349	3432
BGC0001792.1	4349	3432
BGC0002225	4349	4041
BGC0002533	4349	4321
BGC0002613	4349	4321
BGC0002564	4349	4349
BGC0000150	4225	288
BGC0000150.1	4225	288
BGC0001724	4225	3301
BGC0001724.1	4225	3301
BGC0002296	4225	4098
BGC0002430	4225	4225
BGC0002570	4225	4355
BGC0002639	4225	4415
BGC0002686	4225	4457
BGC0000175	1946	334
BGC0000357	1946	688
BGC0000357.1	1946	688
BGC0001008	1946	1946
BGC0001008.1	1946	1946
BGC0001015	1946	1964
BGC0001015.1	1946	1964
BGC0001017	1946	1964
BGC0001017.1	1946	1964
BGC0002297	1946	1964
BGC0001049	1946	2028
BGC0001049.1	1946	2028
BGC0001136	1946	2028
BGC0001136.1	1946	2028
BGC0001218	1946	2028
BGC0001218.1	1946	2028
BGC0001149	1946	2212
BGC0001149.1	1946	2212
BGC0001421	1946	2733
BGC0001421.1	1946	2733
BGC0001422	1946	2733
BGC0001422.1	1946	2733
BGC0001423	1946	2733
BGC0001423.1	1946	2733
BGC0001424	1946	2733
BGC0001424.1	1946	2733
BGC0001425	1946	2733
BGC0001425.1	1946	2733
BGC0001426	1946	2733
BGC0001426.1	1946	2733
BGC0001427	1946	2733
BGC0001427.1	1946	2733
BGC0001428	1946	2733
BGC0001428.1	1946	2733
BGC0001646	1946	3157
BGC0001646.1	1946	3157
BGC0001946.1	1946	3157
BGC0000178	3494	340
BGC0000301	3494	578
BGC0000301.1	3494	578
BGC0001023	3494	1976
BGC0001023.1	3494	1976
BGC0001417	3494	1976
BGC0001417.1	3494	1976
BGC0001418	3494	1976
BGC0001418.1	3494	1976
BGC0001419	3494	1976
BGC0001419.1	3494	1976
BGC0001420	3494	1976
BGC0001420.1	3494	1976
BGC0001429	3494	1976
BGC0001429.1	3494	1976
BGC0001430	3494	1976
BGC0001430.1	3494	1976
BGC0001431	3494	1976
BGC0001431.1	3494	1976
BGC0001652	3494	3168
BGC0001652.1	3494	3168
BGC0001738	3494	3328
BGC0001738.1	3494	3328
BGC0001826	3494	3494
BGC0001826.1	3494	3494
BGC0001970	3494	3751
BGC0001970.1	3494	3751
BGC0001971	3494	3751
BGC0001971.1	3494	3751
BGC0002710	3494	4480
BGC0000180	2296	344
BGC0000367	2296	705
BGC0000367.1	2296	705
BGC0001193	2296	2296
BGC0001193.1	2296	2296
BGC0001574	2296	3016
BGC0001574.1	2296	3016
BGC0001952	2296	3718
BGC0001952.1	2296	3718
BGC0001953	2296	3718
BGC0001953.1	2296	3718
BGC0002100	2296	3931
BGC0002666	2296	4438
BGC0000186	1856	355
BGC0000186.1	1856	355
BGC0000453	1856	873
BGC0000453.1	1856	873
BGC0000962	1856	1856
BGC0000962.1	1856	1856
BGC0001240	1856	2387
BGC0001341	1856	2568
BGC0001341.1	1856	2568
BGC0001367	1856	2613
BGC0001367.1	1856	2613
BGC0001647	1856	3158
BGC0000257	2003	492
BGC0000429	2003	826
BGC0000429.1	2003	826
BGC0002676	2003	826
BGC0000444	2003	855
BGC0000444.1	2003	855
BGC0002089	2003	855
BGC0001037	2003	2003
BGC0001037.1	2003	2003
BGC0001110	2003	2140
BGC0001110.1	2003	2140
BGC0001345	2003	2576
BGC0001345.1	2003	2576
BGC0001457	2003	2789
BGC0001457.1	2003	2789
BGC0001957	2003	3727
BGC0001957.1	2003	3727
BGC0001958.1	2003	3727
BGC0002054	2003	3727
BGC0002126	2003	3954
BGC0000287	557	551
BGC0000287.1	557	551
BGC0001871.1	557	551
BGC0000290	557	557
BGC0000290.1	557	557
BGC0001054	557	2037
BGC0001054.1	557	2037
BGC0001128	557	2175
BGC0001128.1	557	2175
BGC0002716	557	2175
BGC0001569	557	3006
BGC0001569.1	557	3006
BGC0001814	557	3006
BGC0001814.1	557	3006
BGC0000953	557	4427
BGC0002652	557	4427
BGC0002706	557	4476
BGC0000289	2828	555
BGC0000289.1	2828	555
BGC0000335	2828	644
BGC0000335.1	2828	644
BGC0001477	2828	2828
BGC0001477.1	2828	2828
BGC0002417	2828	4212
BGC0002420	2828	4212
BGC0002451	2828	4246
BGC0000291	3991	560
BGC0000291.1	3991	560
BGC0000376	3991	722
BGC0000376.1	3991	722
BGC0001160	3991	2233
BGC0001372	3991	2624
BGC0001372.1	3991	2624
BGC0002167	3991	3991
BGC0000292	561	561
BGC0000292.1	561	561
BGC0000712	561	1371
BGC0001545	561	2960
BGC0001545.1	561	2960
BGC0001699	561	3253
BGC0001699.1	561	3253
BGC0001740	561	3332
BGC0001740.1	561	3332
BGC0000446	561	3455
BGC0000446.1	561	3455
BGC0001637	561	3455
BGC0001637.1	561	3455
BGC0001805.1	561	3455
BGC0000296	851	569
BGC0000296.1	851	569
BGC0000304	851	584
BGC0000304.1	851	584
BGC0000351	851	675
BGC0000442	851	851
BGC0001027	851	1984
BGC0001027.1	851	1984
BGC0001599	851	3064
BGC0001599.1	851	3064
BGC0002413	851	4208
BGC0000297	798	571
BGC0000297.1	798	571
BGC0000415	798	798
BGC0000415.1	798	798
BGC0000434	798	798
BGC0000434.1	798	798
BGC0000450	798	798
BGC0000450.1	798	798
BGC0000358.1	798	2219
BGC0001152	798	2219
BGC0001152.1	798	2219
BGC0001445	798	2766
BGC0001445.1	798	2766
BGC0001672	798	3208
BGC0001672.1	798	3208
BGC0001902	798	3629
BGC0001902.1	798	3629
BGC0000302	798	4303
BGC0000302.1	798	4303
BGC0001479	798	4303
BGC0002512	798	4303
BGC0000298	573	573
BGC0000298.1	573	573
BGC0000331	573	639
BGC0000331.1	573	639
BGC0000332	573	639
BGC0000332.1	573	639
BGC0001018	573	639
BGC0001018.1	573	639
BGC0000354	573	681
BGC0000354.1	573	681
BGC0000369	573	709
BGC0000369.1	573	709
BGC0001207	573	2324
BGC0001207.1	573	2324
BGC0001712	573	3278
BGC0001813	573	3470
BGC0001813.1	573	3470
BGC0001028	573	3895
BGC0001028.1	573	3895
BGC0002061	573	3895
BGC0000300	2162	576
BGC0000300.1	2162	576
BGC0000342	2162	657
BGC0000342.1	2162	657
BGC0000955	2162	1842
BGC0000955.1	2162	1842
BGC0001122	2162	2162
BGC0001122.1	2162	2162
BGC0001178	2162	2267
BGC0001178.1	2162	2267
BGC0000338.1	2162	2622
BGC0001371	2162	2622
BGC0001371.1	2162	2622
BGC0002611	2162	2622
BGC0001824	2162	3490
BGC0001824.1	2162	3490
BGC0002011	2162	3824
BGC0002011.1	2162	3824
BGC0002715	2162	4484
BGC0000303	1831	582
BGC0000303.1	1831	582
BGC0000310	1831	596
BGC0000310.1	1831	596
BGC0000288	1831	1831
BGC0000288.1	1831	1831
BGC0000949	1831	1831
BGC0000949.1	1831	1831
BGC0001442	1831	2866
BGC0001442.1	1831	2866
BGC0001497.1	1831	2866
BGC0000306	602	588
BGC0000306.1	602	588
BGC0000313	602	602
BGC0000313.1	602	602
BGC0002002	602	3806
BGC0002002.1	602	3806
BGC0002259	602	4068
BGC0000963	602	4149
BGC0000963.1	602	4149
BGC0002350	602	4149
BGC0000307	2276	590
BGC0000307.1	2276	590
BGC0000437	2276	841
BGC0000437.1	2276	841
BGC0001055	2276	2040
BGC0001055.1	2276	2040
BGC0001183	2276	2276
BGC0001183.1	2276	2276
BGC0001329	2276	2544
BGC0001329.1	2276	2544
BGC0001820	2276	3485
BGC0001820.1	2276	3485
BGC0001821.1	2276	3485
BGC0002109	2276	3940
BGC0002695	2276	4466
BGC0000309	795	594
BGC0000309.1	795	594
BGC0000414	795	795
BGC0000414.1	795	795
BGC0001768	795	3384
BGC0001768.1	795	3384
BGC0002327	795	4135
BGC0002336	795	4135
BGC0000312	4261	600
BGC0000312.1	4261	600
BGC0000380	4261	730
BGC0000380.1	4261	730
BGC0001196	4261	2302
BGC0001196.1	4261	2302
BGC0002277	4261	4083
BGC0002468	4261	4261
BGC0000314	2955	604
BGC0000314.1	2955	604
BGC0000425	2955	862
BGC0000425.1	2955	862
BGC0000447	2955	862
BGC0000447.1	2955	862
BGC0001806	2955	862
BGC0001806.1	2955	862
BGC0001101	2955	2124
BGC0001101.1	2955	2124
BGC0001406	2955	2688
BGC0001406.1	2955	2688
BGC0001469	2955	2812
BGC0001469.1	2955	2812
BGC0001543	2955	2955
BGC0002017	2955	3835
BGC0002118	2955	3947
BGC0002119	2955	3947
BGC0000315	4331	607
BGC0000315.1	4331	607
BGC0001370	4331	607
BGC0001370.1	4331	607
BGC0001093	4331	2112
BGC0001093.1	4331	2112
BGC0001135	4331	2186
BGC0001135.1	4331	2186
BGC0001503	4331	2877
BGC0001503.1	4331	2877
BGC0001966	4331	3741
BGC0001966.1	4331	3741
BGC0002544	4331	4331
BGC0002679	4331	4451
BGC0000316	4084	608
BGC0000316.1	4084	608
BGC0000998	4084	1926
BGC0000998.1	4084	1926
BGC0002066	4084	3899
BGC0002160	4084	3984
BGC0002278	4084	4084
BGC0002370	4084	4168
BGC0000319	612	612
BGC0000319.1	612	612
BGC0000400	612	768
BGC0000400.1	612	768
BGC0002025	612	3849
BGC0002025.1	612	3849
BGC0002274	612	4080
BGC0001999	612	4348
BGC0001999.1	612	4348
BGC0002563	612	4348
BGC0000320	2245	614
BGC0000320.1	2245	614
BGC0000958	2245	1849
BGC0000958.1	2245	1849
BGC0001216	2245	1849
BGC0001216.1	2245	1849
BGC0001455	2245	1849
BGC0001455.1	2245	1849
BGC0001166	2245	2245
BGC0001166.1	2245	2245
BGC0001767	2245	3383
BGC0001767.1	2245	3383
BGC0002466	2245	3383
BGC0001807	2245	3458
BGC0001807.1	2245	3458
BGC0000321	4203	616
BGC0000321.1	4203	616
BGC0001231	4203	2371
BGC0001231.1	4203	2371
BGC0001856	4203	3547
BGC0001856.1	4203	3547
BGC0002386	4203	4182
BGC0002408	4203	4203
BGC0000324	2337	622
BGC0000324.1	2337	622
BGC0000424	2337	816
BGC0000424.1	2337	816
BGC0000992	2337	1914
BGC0000992.1	2337	1914
BGC0001214	2337	2337
BGC0001214.1	2337	2337
BGC0001734.1	2337	3321
BGC0002421	2337	4216
BGC0002484	2337	4276
BGC0002572	2337	4276
BGC0000325	3758	624
BGC0000325.1	3758	624
BGC0000385	3758	740
BGC0000385.1	3758	740
BGC0000404	3758	775
BGC0000404.1	3758	775
BGC0000405	3758	775
BGC0000405.1	3758	775
BGC0001056	3758	2041
BGC0001056.1	3758	2041
BGC0001717	3758	3288
BGC0001717.1	3758	3288
BGC0001975	3758	3758
BGC0001975.1	3758	3758
BGC0002453	3758	4248
BGC0000326	2300	626
BGC0000326.1	2300	626
BGC0000368	2300	707
BGC0000368.1	2300	707
BGC0000967	2300	1866
BGC0000967.1	2300	1866
BGC0001131	2300	2178
BGC0001131.1	2300	2178
BGC0001195	2300	2300
BGC0001195.1	2300	2300
BGC0001215	2300	2339
BGC0001390	2300	2657
