#BGC Name	Family Number
BGC0000014	25
BGC0000020	36
BGC0001511	36
BGC0000034	64
BGC0000066	126
BGC0000067	126
BGC0000074	126
BGC0000075	142
BGC0000090	171
BGC0000091	173
BGC0000106	201
BGC0000122	233
BGC0000136	261
BGC0001759	261
BGC0000137	263
BGC0000138	265
BGC0002106	265
BGC0000145	278
BGC0000145.1	278
BGC0001041	278
BGC0001041.1	278
BGC0000150	288
BGC0000150.1	288
BGC0000178	340
BGC0000180	344
BGC0000186	355
BGC0000186.1	355
BGC0000257	492
BGC0000289	555
BGC0000289.1	555
BGC0000290	557
BGC0000290.1	557
BGC0000335	644
BGC0000335.1	644
BGC0000345	663
BGC0000345.1	663
BGC0001829	663
BGC0001829.1	663
BGC0000346	665
BGC0000346.1	665
BGC0000353	680
BGC0000353.1	680
BGC0000365	701
BGC0000365.1	701
BGC0000380	730
BGC0000380.1	730
BGC0000393	753
BGC0000393.1	753
BGC0000394	755
BGC0000402	771
BGC0000402.1	771
BGC0000418	806
BGC0000418.1	806
BGC0000419	806
BGC0000419.1	806
BGC0001955	806
BGC0001955.1	806
BGC0000436	840
BGC0000436.1	840
BGC0000440	847
BGC0000440.1	847
BGC0000441	847
BGC0000441.1	847
BGC0000311	877
BGC0000311.1	877
BGC0000322.1	877
BGC0000455	877
BGC0000455.1	877
BGC0001459	877
BGC0001459.1	877
BGC0001460	877
BGC0001460.1	877
BGC0000954	1840
BGC0000954.1	1840
BGC0000955	1842
BGC0000955.1	1842
BGC0000957	1846
BGC0000958	1849
BGC0000958.1	1849
BGC0001216	1849
BGC0001216.1	1849
BGC0001455	1849
BGC0001455.1	1849
BGC0000959	1850
BGC0000959.1	1850
BGC0000960	1852
BGC0000960.1	1852
BGC0000962	1856
BGC0000962.1	1856
BGC0000966	1864
BGC0000966.1	1864
BGC0000967	1866
BGC0000967.1	1866
BGC0000968	1868
BGC0000968.1	1868
BGC0000969	1870
BGC0000969.1	1870
BGC0000970	1872
BGC0000970.1	1872
BGC0000971	1874
BGC0000971.1	1874
BGC0000972	1876
BGC0000972.1	1876
BGC0000973	1878
BGC0000973.1	1878
BGC0000975	1882
BGC0000975.1	1882
BGC0000976	1885
BGC0000976.1	1885
BGC0001165	1885
BGC0001165.1	1885
BGC0000978	1888
BGC0000981	1888
BGC0000979	1890
BGC0000980	1890
BGC0000983	1898
BGC0000983.1	1898
BGC0000984	1900
BGC0000984.1	1900
BGC0000988	1913
BGC0000988.1	1913
BGC0000989	1913
BGC0000989.1	1913
BGC0000990	1913
BGC0000990.1	1913
BGC0000991	1913
BGC0000991.1	1913
BGC0000994	1918
BGC0000994.1	1918
BGC0000996	1922
BGC0000996.1	1922
BGC0000997	1924
BGC0000997.1	1924
BGC0000998	1926
BGC0000998.1	1926
BGC0000999	1928
BGC0000999.1	1928
BGC0001000	1930
BGC0001000.1	1930
BGC0001001	1932
BGC0001001.1	1932
BGC0001003	1936
BGC0001003.1	1936
BGC0001005	1940
BGC0001005.1	1940
BGC0001006	1944
BGC0001007	1944
BGC0001008	1946
BGC0001008.1	1946
BGC0000982	1950
BGC0000982.1	1950
BGC0001009.1	1950
BGC0001010	1950
BGC0001010.1	1950
BGC0001011	1951
BGC0001011.1	1951
BGC0001012	1951
BGC0001012.1	1951
BGC0001013	1951
BGC0001013.1	1951
BGC0001014	1957
BGC0001014.1	1957
BGC0001015	1960
BGC0001015.1	1960
BGC0001705	1960
BGC0001705.1	1960
BGC0002297	1960
BGC0001019	1968
BGC0001019.1	1968
BGC0001022	1973
BGC0001022.1	1973
BGC0001023	1976
BGC0001023.1	1976
BGC0001417	1976
BGC0001417.1	1976
BGC0001429	1976
BGC0001429.1	1976
BGC0001430	1976
BGC0001430.1	1976
BGC0001431	1976
BGC0001431.1	1976
BGC0001024	1977
BGC0001024.1	1977
BGC0001025	1979
BGC0001025.1	1979
BGC0001026	1982
BGC0001026.1	1982
BGC0002261	1982
BGC0001029	1987
BGC0001029.1	1987
BGC0001030	1989
BGC0002598	1989
BGC0002607	1989
BGC0001033	1995
BGC0001033.1	1995
BGC0001034	1997
BGC0001034.1	1997
BGC0001036	2001
BGC0001036.1	2001
BGC0001037	2003
BGC0001037.1	2003
BGC0001039	2008
BGC0001039.1	2008
BGC0001040	2009
BGC0001040.1	2009
BGC0001042	2013
BGC0001042.1	2013
BGC0001043	2015
BGC0001043.1	2015
