#BGC Name	Family Number
BGC0000631	1216
BGC0000631.1	1216
BGC0000632	1217
BGC0000632.1	1217
BGC0000633	1219
BGC0000633.1	1219
BGC0000630	1223
BGC0000630.1	1223
BGC0000635	1223
BGC0000635.1	1223
BGC0000636	1225
BGC0000636.1	1225
BGC0000637	1227
BGC0000637.1	1227
BGC0000640	1233
BGC0000640.1	1233
BGC0000638	1236
BGC0000638.1	1236
BGC0000639	1236
BGC0000639.1	1236
BGC0000641	1236
BGC0000641.1	1236
BGC0000642	1237
BGC0000642.1	1237
BGC0000634	1239
BGC0000634.1	1239
BGC0000643	1239
BGC0000643.1	1239
BGC0000644	1241
BGC0000644.1	1241
BGC0000645	1243
BGC0000645.1	1243
BGC0000646	1245
BGC0000646.1	1245
BGC0000647	1248
BGC0000647.1	1248
BGC0000648	1249
BGC0000648.1	1249
BGC0000649	1252
BGC0000649.1	1252
BGC0000664	1252
BGC0000664.1	1252
BGC0000650	1253
BGC0000650.1	1253
BGC0000651	1256
BGC0000651.1	1256
BGC0000653	1259
BGC0000653.1	1259
BGC0000654	1261
BGC0000654.1	1261
BGC0000611	1263
BGC0000611.1	1263
BGC0000655.1	1263
BGC0000656	1264
BGC0000656.1	1264
BGC0000657	1266
BGC0000657.1	1266
BGC0000658	1268
BGC0000658.1	1268
BGC0000659	1270
BGC0000659.1	1270
BGC0000660	1272
BGC0000660.1	1272
BGC0000661	1274
BGC0000661.1	1274
BGC0000663	1278
BGC0000663.1	1278
BGC0000667	1286
BGC0000667.1	1286
BGC0000669	1290
BGC0000669.1	1290
BGC0000671	1294
BGC0000671.1	1294
BGC0000672	1296
BGC0000672.1	1296
BGC0000674	1300
BGC0000674.1	1300
BGC0000675	1302
BGC0000675.1	1302
BGC0000676	1304
BGC0000676.1	1304
BGC0000678	1308
BGC0000678.1	1308
BGC0000683	1315
BGC0000683.1	1315
BGC0000685	1320
BGC0000685.1	1320
BGC0000688	1325
BGC0000688.1	1325
BGC0001046	2021
BGC0001046.1	2021
BGC0001078	2085
BGC0001078.1	2085
BGC0000652	2087
BGC0000652.1	2087
BGC0001079	2087
BGC0001079.1	2087
BGC0001082	2092
BGC0001082.1	2092
BGC0001083	2094
BGC0001083.1	2094
BGC0001181	2272
BGC0001181.1	2272
BGC0001201	2312
BGC0001201.1	2312
BGC0001227	2364
BGC0001227.1	2364
BGC0001456	2364
BGC0001456.1	2364
BGC0001260	2422
BGC0001260.1	2422
BGC0001270.1	2439
BGC0001604	2439
BGC0001604.1	2439
BGC0000930	2452
BGC0000930.1	2452
BGC0000931.1	2452
BGC0001277	2452
BGC0001277.1	2452
BGC0001278	2452
BGC0001278.1	2452
BGC0001811	2452
BGC0001811.1	2452
BGC0001322	2533
BGC0001322.1	2533
BGC0001324	2533
BGC0001324.1	2533
BGC0001321	2535
BGC0001321.1	2535
BGC0001323	2535
BGC0001323.1	2535
BGC0001330	2546
BGC0001330.1	2546
BGC0001339	2564
BGC0001339.1	2564
BGC0001373	2625
BGC0001373.1	2625
BGC0001475	2824
BGC0001475.1	2824
BGC0001481	2836
BGC0001481.1	2836
BGC0001580	3027
BGC0001580.1	3027
BGC0001613.1	3092
BGC0001617	3099
BGC0001617.1	3099
BGC0001624.1	3114
BGC0001642	3149
BGC0001642.1	3149
BGC0001646	3157
BGC0001646.1	3157
BGC0001946.1	3157
BGC0001712.1	3279
BGC0001717.1	3288
BGC0001718.1	3288
BGC0001746	3342
BGC0001746.1	3342
BGC0001756	3361
BGC0001756.1	3361
BGC0001775	3398
BGC0001775.1	3398
BGC0001776	3400
BGC0001776.1	3400
BGC0001777	3402
BGC0001777.1	3402
BGC0001839	3517
BGC0001839.1	3517
BGC0001903	3631
BGC0001903.1	3631
BGC0002554	3631
BGC0001910	3644
BGC0001910.1	3644
BGC0001911	3646
BGC0001911.1	3646
BGC0001706	3687
BGC0001706.1	3687
BGC0001936.1	3687
BGC0001969	3747
BGC0001969.1	3747
BGC0001995	3792
BGC0001995.1	3792
BGC0001997	3796
BGC0001997.1	3796
BGC0002007	3816
BGC0002007.1	3816
BGC0002019	3838
BGC0002019.1	3838
BGC0002149	3975
BGC0002173	3997
BGC0002176	4000
BGC0002246	4059
BGC0002248	4060
BGC0002260	4069
BGC0001361	4086
BGC0001361.1	4086
BGC0002283	4086
BGC0002309	4110
BGC0002320	4120
BGC0002338	4137
BGC0002339	4138
BGC0002389	4184
BGC0002392	4187
BGC0002393	4188
BGC0002394	4189
BGC0002395	4190
BGC0002396	4191
BGC0002397	4192
BGC0002398	4192
BGC0002399	4194
BGC0002400	4195
BGC0002427	4222
BGC0002445	4240
BGC0002449	4244
BGC0002557	4343
BGC0002591	4373
BGC0002603	4380
BGC0002604	4381
BGC0002614	4391
BGC0002618	4395
BGC0002651	4426
BGC0002666	4438
BGC0002707	4477
BGC0002708	4478
BGC0002723	4490
BGC0002724	4491
