#BGC Name	Clan Number	Family Number
BGC0000014	4297	25
BGC0000346	4297	665
BGC0000346.1	4297	665
BGC0000970	4297	1872
BGC0000970.1	4297	1872
BGC0001000	4297	1930
BGC0001000.1	4297	1930
BGC0001023	4297	1976
BGC0001023.1	4297	1976
BGC0001417	4297	1976
BGC0001417.1	4297	1976
BGC0001429	4297	1976
BGC0001429.1	4297	1976
BGC0001430	4297	1976
BGC0001430.1	4297	1976
BGC0001431	4297	1976
BGC0001431.1	4297	1976
BGC0001202	4297	2314
BGC0001202.1	4297	2314
BGC0001918	4297	3656
BGC0001918.1	4297	3656
BGC0002505	4297	4297
BGC0000020	1968	36
BGC0001511	1968	36
BGC0001019	1968	1968
BGC0001019.1	1968	1968
BGC0001600	1968	3066
BGC0001853	1968	3544
BGC0001856	1968	3547
BGC0001856.1	1968	3547
BGC0000034	278	64
BGC0000145	278	278
BGC0000145.1	278	278
BGC0001041	278	278
BGC0001041.1	278	278
BGC0000975	278	1882
BGC0000975.1	278	1882
BGC0001063	278	2055
BGC0001090	278	2119
BGC0001090.1	278	2119
BGC0001098	278	2119
BGC0001098.1	278	2119
BGC0001106	278	2133
BGC0001106.1	278	2133
BGC0001113	278	2146
BGC0001113.1	278	2146
BGC0001793	278	3434
BGC0000066	2128	126
BGC0000067	2128	126
BGC0000074	2128	126
BGC0001025	2128	1979
BGC0001025.1	2128	1979
BGC0001103	2128	2128
BGC0001103.1	2128	2128
BGC0001187	2128	2284
BGC0001187.1	2128	2284
BGC0001436	2128	2748
BGC0001950	2128	3711
BGC0001950.1	2128	3711
BGC0001951	2128	3711
BGC0001951.1	2128	3711
BGC0002697	2128	4468
BGC0000075	3136	142
BGC0000436	3136	840
BGC0000436.1	3136	840
BGC0000976	3136	1885
BGC0000976.1	3136	1885
BGC0001165	3136	1885
BGC0001165.1	3136	1885
BGC0001053	3136	2575
BGC0001053.1	3136	2575
BGC0001344	3136	2575
BGC0001344.1	3136	2575
BGC0000965	3136	3035
BGC0000965.1	3136	3035
BGC0001397	3136	3035
BGC0001397.1	3136	3035
BGC0001584	3136	3035
BGC0001584.1	3136	3035
BGC0001635	3136	3136
BGC0001635.1	3136	3136
BGC0002114	3136	3943
BGC0002205	3136	4021
BGC0000090	3895	171
BGC0000966	3895	1864
BGC0000966.1	3895	1864
BGC0001005	3895	1940
BGC0001005.1	3895	1940
BGC0001237	3895	2381
BGC0001237.1	3895	2381
BGC0001332	3895	2550
BGC0001332.1	3895	2550
BGC0001461	3895	2799
BGC0001461.1	3895	2799
BGC0001462	3895	2799
BGC0001462.1	3895	2799
BGC0000334	3895	2998
BGC0001565	3895	2998
BGC0001565.1	3895	2998
BGC0001876	3895	3584
BGC0001876.1	3895	3584
BGC0001963	3895	3736
BGC0001963.1	3895	3736
BGC0001028	3895	3895
BGC0001028.1	3895	3895
BGC0002061	3895	3895
BGC0002533	3895	4321
BGC0002613	3895	4321
BGC0000091	4449	173
BGC0000972	4449	1876
BGC0000972.1	4449	1876
BGC0001006	4449	1944
BGC0001007	4449	1944
BGC0001161	4449	2239
BGC0001162	4449	2239
BGC0001163	4449	2239
BGC0001195	4449	2300
BGC0001195.1	4449	2300
BGC0001543	4449	2955
BGC0002416	4449	4211
BGC0002677	4449	4449
BGC0000106	201	201
BGC0000994	201	1918
BGC0000994.1	201	1918
BGC0001556	201	2980
BGC0001556.1	201	2980
BGC0001560	201	2987
BGC0001560.1	201	2987
BGC0002451	201	4246
BGC0000122	2789	233
BGC0000978	2789	1888
BGC0000981	2789	1888
BGC0001443	2789	2762
BGC0001443.1	2789	2762
BGC0001457	2789	2789
BGC0001457.1	2789	2789
BGC0002296	2789	4098
BGC0002715	2789	4484
BGC0000136	261	261
BGC0001759	261	261
BGC0000180	261	344
BGC0001047	261	2024
BGC0001047.1	261	2024
BGC0001564	261	2995
BGC0001564.1	261	2995
BGC0002118	261	3947
BGC0002119	261	3947
BGC0000137	4020	263
BGC0001054	4020	2037
BGC0001054.1	4020	2037
BGC0002204	4020	4020
BGC0002456	4020	4251
BGC0002532	4020	4320
BGC0000138	265	265
BGC0002106	265	265
BGC0002546	265	4333
BGC0002623	265	4400
BGC0000150	2466	288
BGC0000150.1	2466	288
BGC0000440	2466	847
BGC0000440.1	2466	847
BGC0000441	2466	847
BGC0000441.1	2466	847
BGC0000996	2466	1922
BGC0000996.1	2466	1922
BGC0001287	2466	2466
BGC0001477	2466	2828
BGC0001477.1	2466	2828
BGC0001881	2466	3591
BGC0001881.1	2466	3591
BGC0001982.1	2466	3591
BGC0002268	2466	4075
BGC0002386	2466	4182
BGC0000178	340	340
BGC0001091	340	2108
BGC0001327	340	2543
BGC0001327.1	340	2543
BGC0001328	340	2543
BGC0001328.1	340	2543
BGC0001738	340	3328
BGC0001738.1	340	3328
BGC0001952	340	3718
BGC0001952.1	340	3718
BGC0001953	340	3718
BGC0001953.1	340	3718
BGC0000186	355	355
BGC0000186.1	355	355
BGC0001626	355	3117
BGC0001780	355	3408
BGC0001780.1	355	3408
BGC0001794	355	3436
BGC0002001	355	3804
BGC0002001.1	355	3804
BGC0000257	1874	492
BGC0000971	1874	1874
BGC0000971.1	1874	1874
BGC0001819	1874	3481
BGC0002734	1874	4498
BGC0000289	4249	555
BGC0000289.1	4249	555
BGC0000394	4249	755
BGC0001042	4249	2013
BGC0001042.1	4249	2013
BGC0001125	4249	2168
BGC0001125.1	4249	2168
BGC0001418	4249	2717
BGC0001418.1	4249	2717
BGC0001419	4249	2717
BGC0001419.1	4249	2717
BGC0001420	4249	2717
BGC0001420.1	4249	2717
BGC0001750	4249	3350
BGC0001750.1	4249	3350
BGC0002454	4249	4249
BGC0000290	3310	557
BGC0000290.1	3310	557
BGC0000418	3310	806
BGC0000418.1	3310	806
BGC0000419	3310	806
BGC0000419.1	3310	806
BGC0001955	3310	806
BGC0001955.1	3310	806
BGC0000959	3310	1850
BGC0000959.1	3310	1850
BGC0001043	3310	2015
BGC0001043.1	3310	2015
BGC0002365	3310	2015
BGC0002509	3310	2015
BGC0001367	3310	2613
BGC0001367.1	3310	2613
BGC0001728	3310	3310
BGC0001728.1	3310	3310
BGC0001993.1	3310	3310
BGC0002009	3310	3819
BGC0002171	3310	4081
BGC0002275	3310	4081
BGC0002649	3310	4425
BGC0000335	644	644
BGC0000335.1	644	644
BGC0000954	644	1840
BGC0000954.1	644	1840
BGC0001178	644	2267
BGC0001178.1	644	2267
BGC0001772	644	3392
BGC0001884	644	3596
BGC0001884.1	644	3596
BGC0002624	644	4401
BGC0000345	2008	663
BGC0000345.1	2008	663
BGC0001829	2008	663
BGC0001829.1	2008	663
BGC0001039	2008	2008
BGC0001039.1	2008	2008
BGC0001069	2008	2067
BGC0001069.1	2008	2067
BGC0001112	2008	2144
