#BGC Name	Clan Number	Family Number
BGC0000001	0	0
BGC0000001.1	0	0
BGC0000046	0	88
BGC0000046.1	0	88
BGC0000060	0	115
BGC0000060.1	0	115
BGC0001204	0	2318
BGC0001204.1	0	2318
BGC0001749	0	3348
BGC0001749.1	0	3348
BGC0002124	0	3952
BGC0002185	0	4005
BGC0002238	0	4053
BGC0002596	0	4376
BGC0000002	1663	2
BGC0000002.1	1663	2
BGC0000147	1663	281
BGC0000147.1	1663	281
BGC0000149	1663	285
BGC0000149.1	1663	285
BGC0000864	1663	1663
BGC0001332.1	1663	2551
BGC0001537	1663	2944
BGC0001537.1	1663	2944
BGC0001658	1663	3180
BGC0001658.1	1663	3180
BGC0001695.1	1663	3248
BGC0001913	1663	3649
BGC0001913.1	1663	3649
BGC0000003	2478	4
BGC0000003.1	2478	4
BGC0000093	2478	177
BGC0000093.1	2478	177
BGC0001293	2478	2478
BGC0001491.1	2478	2855
BGC0001583	2478	3032
BGC0001583.1	2478	3032
BGC0001631.1	2478	3128
BGC0001899	2478	3625
BGC0001899.1	2478	3625
BGC0002301	2478	4102
BGC0000004	3927	16
BGC0000004.1	3927	16
BGC0000006	3927	16
BGC0000006.1	3927	16
BGC0000007	3927	16
BGC0000007.1	3927	16
BGC0000008	3927	16
BGC0000008.1	3927	16
BGC0000009	3927	16
BGC0000009.1	3927	16
BGC0000080	3927	152
BGC0000080.1	3927	152
BGC0001508	3927	2888
BGC0001508.1	3927	2888
BGC0001798.1	3927	3444
BGC0000114	3927	3871
BGC0000114.1	3927	3871
BGC0002038	3927	3871
BGC0002096	3927	3927
BGC0000011	3245	19
BGC0000011.1	3245	19
BGC0000102	3245	193
BGC0000102.1	3245	193
BGC0000141	3245	269
BGC0000141.1	3245	269
BGC0000935	3245	1803
BGC0000935.1	3245	1803
BGC0001327.1	3245	2541
BGC0001328.1	3245	2541
BGC0001694	3245	3245
BGC0001694.1	3245	3245
BGC0002222	3245	4040
BGC0002224	3245	4040
BGC0000012	21	21
BGC0000012.1	21	21
BGC0001296	21	2743
BGC0001296.1	21	2743
BGC0001433	21	2743
BGC0001433.1	21	2743
BGC0001523	21	3255
BGC0001523.1	21	3255
BGC0001700	21	3255
BGC0001700.1	21	3255
BGC0002745	21	4501
BGC0000013	3552	24
BGC0000013.1	3552	24
BGC0001281	3552	2456
BGC0001281.1	3552	2456
BGC0001432.1	3552	2741
BGC0001858	3552	3552
BGC0001858.1	3552	3552
BGC0001944	3552	3700
BGC0001944.1	3552	3700
BGC0002062	3552	3896
BGC0002376	3552	4172
BGC0000017	3929	30
BGC0000017.1	3929	30
BGC0000120	3929	229
BGC0000120.1	3929	229
BGC0001404	3929	2684
BGC0001404.1	3929	2684
BGC0001489	3929	2850
BGC0001489.1	3929	2850
BGC0001452	3929	2916
BGC0001452.1	3929	2916
BGC0001522	3929	2916
BGC0001522.1	3929	2916
BGC0000108.1	3929	3239
BGC0000125.1	3929	3239
BGC0001690.1	3929	3239
BGC0001794.1	3929	3437
BGC0002098	3929	3929
