BGC	Accession ID	Description	Product Prediction	BiG-SCAPE class	Organism	Taxonomy
BGC0000142	BGC0000142	Salinispora tropica CNB-440, complete genome	T1PKS.RRE-containing	Others	Salinispora tropica CNB-440	Bacteria,Actinobacteria,Micromonosporales,Micromonosporaceae,Salinispora
BGC0000175	BGC0000175	Streptomyces sp. YIM 56141 hypothetical protein genes, complete cds; cycloheximide biosynthetic gene cluster, complete sequence; and hypothetical protein genes, complete cds	NRPS-like.transAT-PKS.lanthipeptide-class-iv	Others	Streptomyces sp. YIM 56141	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0000175.1	BGC0000175.1	Cycloheximide / actiphenol biosynthetic gene cluster	transatpks.lantipeptide	Others	Streptomyces sp. YIM 56141	Bacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Streptomycineae,Streptomycetaceae,Streptomyces
BGC0000227	BGC0000227	Streptomyces violaceoruber Tu22 granaticin biosynthetic gene cluster	T2PKS.RRE-containing	Others	Streptomyces violaceoruber	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces anthocyanicus group
BGC0000385.1	BGC0000385.1	Lysobactin biosynthetic gene cluster	transatpks.nrps.lantipeptide	Others	Lysobacter sp. ATCC 53042	Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Lysobacter
BGC0000413	BGC0000413	Pseudomonas protegens Pf-5, complete genome	ranthipeptide.NRPS	Others	Pseudomonas protegens Pf-5	Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas
BGC0000468	BGC0000468	Streptomyces bottropensis bottromycin biosynthesis gene cluster, complete sequence, strain DSM40262	RiPP-like.bottromycin	RiPPs	Streptomyces bottropensis	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0000468.1	BGC0000468.1	Bottromycin A2 biosynthetic gene cluster	bottromycin.bacteriocin	RiPPs	Streptomyces bottropensis	Bacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Streptomycineae,Streptomycetaceae,Streptomyces
BGC0000469	BGC0000469	Streptomyces sp. BC16019 hypothetical protein genes, complete cds; bottromycin biosynthetic gene cluster, complete sequence; and hypothetical protein genes, complete cds	RiPP-like.bottromycin	RiPPs	Streptomyces sp. BC16019	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0000469.1	BGC0000469.1	Bottromycin A2 biosynthetic gene cluster	bottromycin.bacteriocin	RiPPs	Streptomyces sp. BC16019	Bacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Streptomycineae,Streptomycetaceae,Streptomyces
BGC0000470	BGC0000470	Streptomyces sp. WMMB 272 bottromycin D gene cluster, partial sequence	RiPP-like.bottromycin	RiPPs	Streptomyces sp. WMMB 272	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0000470.1	BGC0000470.1	Bottromycin D biosynthetic gene cluster	bottromycin.bacteriocin	RiPPs	Streptomyces sp. WMMB 272	Bacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Streptomycineae,Streptomycetaceae,Streptomyces
BGC0000471	BGC0000471	Oscillatoria nigro-viridis PCC 7112 chromosome, complete genome	cyanobactin	RiPPs	Oscillatoria nigro-viridis PCC 7112	Bacteria,Cyanobacteria,Oscillatoriophycideae,Oscillatoriales,Oscillatoriaceae,Oscillatoria
BGC0000471.1	BGC0000471.1	Viridisamide A biosynthetic gene cluster	cyanobactin.bacteriocin	RiPPs	Oscillatoria nigro-viridis PCC 7112	Bacteria,Cyanobacteria,Oscillatoriophycideae,Oscillatoriales,Oscillatoria
BGC0000472	BGC0000472	Anabaena sp. 90 signal recognition particle protein SRP gene, complete cds; anacyclamide biosynthetic gene cluster, complete sequence; 30S ribosomal protein S16, and hypothetical protein genes, complete cds	cyanobactin	RiPPs	Anabaena sp. 90	Bacteria,Cyanobacteria,Nostocales,Nostocaceae,Anabaena,unclassified Anabaena
BGC0000472.1	BGC0000472.1	Anacyclamide biosynthetic gene cluster	cyanobactin	RiPPs	Anabaena sp. 90	Bacteria,Cyanobacteria,Nostocales,Nostocaceae,Anabaena
BGC0000473	BGC0000473	Microcystis aeruginosa NIES-298 microcyclamide biosynthetic gene cluster, strain NIES-298	cyanobactin	RiPPs	Microcystis aeruginosa NIES-298	Bacteria,Cyanobacteria,Oscillatoriophycideae,Chroococcales,Microcystaceae,Microcystis
BGC0000473.1	BGC0000473.1	Microcyclamide biosynthetic gene cluster	cyanobactin.bacteriocin	RiPPs	Microcystis aeruginosa NIES-298	Bacteria,Cyanobacteria,Oscillatoriophycideae,Chroococcales,Microcystis
BGC0000474	BGC0000474	Microcystis aeruginosa PCC 7806 microcyclamide biosynthetic gene cluster, strain PCC 7806	cyanobactin	RiPPs	Microcystis aeruginosa PCC 7806	Bacteria,Cyanobacteria,Oscillatoriophycideae,Chroococcales,Microcystaceae,Microcystis
BGC0000474.1	BGC0000474.1	Microcyclamide biosynthetic gene cluster	cyanobactin.bacteriocin	RiPPs	Microcystis aeruginosa PCC 7806	Bacteria,Cyanobacteria,Oscillatoriophycideae,Chroococcales,Microcystis
BGC0000475	BGC0000475	Prochloron didemni subtilisin-like protein (patA), PatB (patB), PatC (patC), adenylation/heterocyclization protein (patD), patellamide precursor protein (patE), PatF (patF), thiazoline oxidase/subtilisin-like protease (patG), and deoxyribopyrimidine photolyase genes, complete cds	cyanobactin	RiPPs	Prochloron didemni	Bacteria,Cyanobacteria,Synechococcales,Prochloraceae,Prochloron
BGC0000475.1	BGC0000475.1	Patellamide A / patellamide C biosynthetic gene cluster	cyanobactin.bacteriocin	RiPPs	Prochloron didemni	Bacteria,Cyanobacteria,Prochlorales,Prochloraceae,Prochloron
BGC0000476	BGC0000476	Uncultured Prochloron sp. clone E5 patellamide precursor protein (patE) gene, complete cds	cyanobactin	RiPPs	uncultured Prochloron sp.	Bacteria,Cyanobacteria,Synechococcales,Prochloraceae,Prochloron,environmental samples
BGC0000476.1	BGC0000476.1	Patellamide B / ulithiacyclamide biosynthetic gene cluster	bacteriocin	RiPPs	uncultured Prochloron sp.	Bacteria,Cyanobacteria,Prochlorales,Prochloraceae,Prochloron,environmental samples
BGC0000477	BGC0000477	Uncultured Prochloron sp. 06037A TruA (truA), TruB (truB), TruC (truC), TruD (truD), TruE1 (truE1), TruF1 (truF1), and TruF2 (truF2) genes, complete cds; and TruG (truG) gene, partial cds	cyanobactin	RiPPs	uncultured Prochloron sp. 06037A	Bacteria,Cyanobacteria,Synechococcales,Prochloraceae,Prochloron,environmental samples
BGC0000477.1	BGC0000477.1	Patellin 2 / patellin 3 biosynthetic gene cluster	cyanobactin.bacteriocin	RiPPs	uncultured Prochloron sp. 06037A	Bacteria,Cyanobacteria,Prochlorales,Prochloraceae,Prochloron,environmental samples
BGC0000478	BGC0000478	Uncultured Prochloron sp. TruE2 (truE2) gene, complete cds	cyanobactin	RiPPs	uncultured Prochloron sp.	Bacteria,Cyanobacteria,Synechococcales,Prochloraceae,Prochloron,environmental samples
